"cl_id","label","tissue_col"
"SK-MEL-2","SK-MEL-2","steelblue"
"A375","A375","steelblue"
"WM266-4","WM266-4","steelblue"
"MeWo","MeWo","steelblue"
"RWPE-1","RWPE-1(N)","darkorange"
"22Rv1","22Rv1","darkorange"
"PC-3","PC-3","darkorange"
"DU145","DU145","darkorange"
"LnCaP","LNCaP","darkorange"
"Panc-1","Panc-1","forestgreen"
"Capan-1","Capan-1","forestgreen"
"hTERT-HPNE","hTERT-HPNE(N)","forestgreen"
"SKOV-3","SKOV-3","brown1"
"Caov-3","Caov-3","brown1"
"OVCAR-3","OVCAR-3","brown1"
"NCI-H2126","NCI-H2126","mediumpurple"
"NCI-H2087","NCI-H2087","mediumpurple"
"NL20","NL20(N)","mediumpurple"
"HCT116","HCT116","sienna"
"HT29","HT29","sienna"
"SW620","SW620","sienna"
"SW480","SW480","sienna"
"T-47D","T-47D","orchid"
"MCF7","MCF7","orchid"
"MDA-MB-231","MDA-MB-231","orchid"
"hTERT-HME1","hTERT-HME1(N)","orchid"
"MCF10A-JSB","MCF10A(N)","orchid"
"HCC1937","HCC1937","orchid"
"U-87","U-87","gray40"
"T98G","T98G","gray40"
