cl_id	sub_id	feature_value
SK-MEL-2	500Pa Coll	445.926
SK-MEL-2	500Pa Coll	341.876
SK-MEL-2	500Pa Coll	168.01
SK-MEL-2	500Pa Coll	786.001
SK-MEL-2	500Pa Coll	795.46
SK-MEL-2	500Pa Coll	268.006
SK-MEL-2	500Pa Coll	713.932
SK-MEL-2	500Pa Coll	443.223
SK-MEL-2	500Pa Coll	529.706
SK-MEL-2	500Pa Coll	429.71
SK-MEL-2	500Pa Coll	253.142
SK-MEL-2	500Pa Coll	190.982
SK-MEL-2	500Pa Coll	153.597
SK-MEL-2	500Pa Coll	261.7
SK-MEL-2	500Pa Coll	223.864
SK-MEL-2	500Pa Coll	160.804
SK-MEL-2	500Pa Coll	317.553
SK-MEL-2	500Pa Coll	152.245
SK-MEL-2	500Pa Coll	152.245
SK-MEL-2	500Pa Coll	232.872
SK-MEL-2	500Pa Coll	167.56
SK-MEL-2	500Pa Coll	140.534
SK-MEL-2	500Pa Coll	188.28
SK-MEL-2	500Pa Coll	260.799
SK-MEL-2	500Pa Coll	197.288
SK-MEL-2	500Pa Coll	286.474
SK-MEL-2	500Pa Coll	133.778
SK-MEL-2	500Pa Coll	153.146
SK-MEL-2	500Pa Coll	148.642
SK-MEL-2	500Pa Coll	338.273
SK-MEL-2	500Pa Coll	152.245
SK-MEL-2	500Pa Coll	127.922
SK-MEL-2	500Pa Coll	154.498
SK-MEL-2	500Pa Coll	181.523
SK-MEL-2	500Pa Coll	198.64
SK-MEL-2	500Pa Coll	158.101
SK-MEL-2	500Pa Coll	143.237
SK-MEL-2	500Pa Coll	276.114
SK-MEL-2	500Pa Coll	254.493
SK-MEL-2	500Pa Coll	314.4
SK-MEL-2	500Pa Coll	251.34
SK-MEL-2	500Pa Coll	118.013
SK-MEL-2	500Pa Coll	141.886
SK-MEL-2	500Pa Coll	248.187
SK-MEL-2	500Pa Coll	299.086
SK-MEL-2	500Pa Coll	172.515
SK-MEL-2	500Pa Coll	155.398
SK-MEL-2	500Pa Coll	175.668
SK-MEL-2	500Pa Coll	131.075
SK-MEL-2	500Pa Coll	299.086
SK-MEL-2	500Pa Coll	374.667
SK-MEL-2	500Pa Coll	280.444
SK-MEL-2	500Pa Coll	526.222
SK-MEL-2	500Pa Coll	372.0
SK-MEL-2	500Pa Coll	700.889
SK-MEL-2	500Pa Coll	431.556
SK-MEL-2	500Pa Coll	356.889
SK-MEL-2	500Pa Coll	499.556
SK-MEL-2	500Pa Coll	467.556
SK-MEL-2	500Pa Coll	450.667
SK-MEL-2	500Pa Coll	250.222
SK-MEL-2	500Pa Coll	390.222
SK-MEL-2	500Pa Coll	1128.889
SK-MEL-2	500Pa Coll	267.556
SK-MEL-2	500Pa Coll	611.111
SK-MEL-2	500Pa Coll	224.889
SK-MEL-2	500Pa Coll	189.778
SK-MEL-2	500Pa Coll	383.111
SK-MEL-2	500Pa Coll	333.333
SK-MEL-2	500Pa Coll	328.0
