cl_id	sub_id	feature_value
SK-MEL-2	500Pa Coll	4.053
SK-MEL-2	500Pa Coll	4.513
SK-MEL-2	500Pa Coll	1.149
SK-MEL-2	500Pa Coll	4.648
SK-MEL-2	500Pa Coll	1.702
SK-MEL-2	500Pa Coll	1.632
SK-MEL-2	500Pa Coll	2.886
SK-MEL-2	500Pa Coll	5.723
SK-MEL-2	500Pa Coll	1.103
SK-MEL-2	500Pa Coll	1.01
SK-MEL-2	500Pa Coll	1.694
SK-MEL-2	500Pa Coll	1.29
SK-MEL-2	500Pa Coll	1.072
SK-MEL-2	500Pa Coll	1.044
SK-MEL-2	500Pa Coll	1.048
SK-MEL-2	500Pa Coll	1.214
SK-MEL-2	500Pa Coll	1.077
SK-MEL-2	500Pa Coll	1.084
SK-MEL-2	500Pa Coll	1.053
SK-MEL-2	500Pa Coll	1.007
SK-MEL-2	500Pa Coll	1.406
SK-MEL-2	500Pa Coll	1.375
SK-MEL-2	500Pa Coll	1.349
SK-MEL-2	500Pa Coll	1.251
SK-MEL-2	500Pa Coll	1.298
SK-MEL-2	500Pa Coll	1.11
SK-MEL-2	500Pa Coll	1.275
SK-MEL-2	500Pa Coll	1.374
SK-MEL-2	500Pa Coll	1.272
SK-MEL-2	500Pa Coll	1.138
SK-MEL-2	500Pa Coll	1.284
SK-MEL-2	500Pa Coll	1.051
SK-MEL-2	500Pa Coll	1.096
SK-MEL-2	500Pa Coll	1.123
SK-MEL-2	500Pa Coll	1.141
SK-MEL-2	500Pa Coll	1.105
SK-MEL-2	500Pa Coll	1.111
SK-MEL-2	500Pa Coll	1.092
SK-MEL-2	500Pa Coll	1.12
SK-MEL-2	500Pa Coll	3.325
SK-MEL-2	500Pa Coll	2.168
SK-MEL-2	500Pa Coll	1.071
SK-MEL-2	500Pa Coll	1.012
SK-MEL-2	500Pa Coll	1.232
SK-MEL-2	500Pa Coll	1.097
SK-MEL-2	500Pa Coll	1.105
SK-MEL-2	500Pa Coll	1.485
SK-MEL-2	500Pa Coll	1.185
SK-MEL-2	500Pa Coll	1.266
SK-MEL-2	500Pa Coll	1.256
SK-MEL-2	500Pa Coll	1.257
SK-MEL-2	500Pa Coll	1.02
SK-MEL-2	500Pa Coll	1.063
SK-MEL-2	500Pa Coll	1.053
SK-MEL-2	500Pa Coll	1.126
SK-MEL-2	500Pa Coll	1.198
SK-MEL-2	500Pa Coll	1.304
SK-MEL-2	500Pa Coll	1.179
SK-MEL-2	500Pa Coll	1.702
SK-MEL-2	500Pa Coll	1.125
SK-MEL-2	500Pa Coll	1.095
SK-MEL-2	500Pa Coll	1.103
SK-MEL-2	500Pa Coll	1.027
SK-MEL-2	500Pa Coll	1.244
SK-MEL-2	500Pa Coll	1.295
SK-MEL-2	500Pa Coll	1.484
SK-MEL-2	500Pa Coll	1.18
SK-MEL-2	500Pa Coll	1.544
SK-MEL-2	500Pa Coll	1.247
SK-MEL-2	500Pa Coll	1.105
SK-MEL-2	500Pa Coll	1.342
SK-MEL-2	500Pa Coll	1.335
SK-MEL-2	500Pa Coll	1.241
SK-MEL-2	500Pa Coll	1.252
SK-MEL-2	500Pa Coll	1.056
SK-MEL-2	500Pa Coll	1.06
SK-MEL-2	500Pa Coll	1.399
SK-MEL-2	500Pa Coll	1.085
SK-MEL-2	500Pa Coll	1.141
SK-MEL-2	500Pa Coll	1.339
SK-MEL-2	500Pa Coll	1.104
SK-MEL-2	500Pa Coll	1.133
SK-MEL-2	500Pa Coll	1.11
SK-MEL-2	500Pa Coll	1.048
SK-MEL-2	500Pa Coll	1.141
