cl_id	sub_id	feature_value
SK-MEL-2	500Pa Coll	3740.7239999999997
SK-MEL-2	500Pa Coll	4268.522999999999
SK-MEL-2	500Pa Coll	7182.882
SK-MEL-2	500Pa Coll	5361.762
SK-MEL-2	500Pa Coll	7700.493
SK-MEL-2	500Pa Coll	8854.578
SK-MEL-2	500Pa Coll	7058.079000000001
SK-MEL-2	500Pa Coll	4482.755999999999
SK-MEL-2	500Pa Coll	4581.807
SK-MEL-2	500Pa Coll	2460.987
SK-MEL-2	500Pa Coll	4644.636
SK-MEL-2	500Pa Coll	4578.978
SK-MEL-2	500Pa Coll	3383.859
SK-MEL-2	500Pa Coll	2256.096
SK-MEL-2	500Pa Coll	2772.291
SK-MEL-2	500Pa Coll	2101.008
SK-MEL-2	500Pa Coll	1524.252
SK-MEL-2	500Pa Coll	2677.7670000000003
SK-MEL-2	500Pa Coll	1691.223
SK-MEL-2	500Pa Coll	2586.36
SK-MEL-2	500Pa Coll	2521.5510000000004
SK-MEL-2	500Pa Coll	4556.904
SK-MEL-2	500Pa Coll	2798.8920000000003
SK-MEL-2	500Pa Coll	3799.0229999999997
SK-MEL-2	500Pa Coll	2464.383
SK-MEL-2	500Pa Coll	4217.301
SK-MEL-2	500Pa Coll	2664.75
SK-MEL-2	500Pa Coll	2526.9269999999997
SK-MEL-2	500Pa Coll	2839.08
SK-MEL-2	500Pa Coll	3518.568
SK-MEL-2	500Pa Coll	2963.6009999999997
SK-MEL-2	500Pa Coll	1274.076
SK-MEL-2	500Pa Coll	1866.117
SK-MEL-2	500Pa Coll	2627.3940000000002
SK-MEL-2	500Pa Coll	2311.563
SK-MEL-2	500Pa Coll	1554.2489999999998
SK-MEL-2	500Pa Coll	2667.864
SK-MEL-2	500Pa Coll	1647.924
SK-MEL-2	500Pa Coll	1583.1150000000002
SK-MEL-2	500Pa Coll	3130.29
SK-MEL-2	500Pa Coll	4866.7919999999995
SK-MEL-2	500Pa Coll	8739.678
SK-MEL-2	500Pa Coll	6440.568000000001
SK-MEL-2	500Pa FN	4340.406
SK-MEL-2	500Pa FN	3163.965
SK-MEL-2	500Pa FN	1531.608
SK-MEL-2	500Pa FN	1897.815
SK-MEL-2	500Pa FN	3171.3239999999996
SK-MEL-2	500Pa FN	2815.8720000000003
SK-MEL-2	500Pa FN	3681.294
SK-MEL-2	500Pa FN	3026.145
SK-MEL-2	500Pa FN	2615.2259999999997
SK-MEL-2	500Pa FN	3960.3360000000002
SK-MEL-2	500Pa FN	3912.2250000000004
SK-MEL-2	500Pa FN	5173.284000000001
SK-MEL-2	500Pa FN	4603.032
SK-MEL-2	500Pa FN	3146.136
SK-MEL-2	500Pa FN	1035.507
SK-MEL-2	500Pa FN	1936.302
SK-MEL-2	500Pa FN	1567.266
SK-MEL-2	500Pa FN	5620.71
SK-MEL-2	500Pa FN	6164.358
SK-MEL-2	500Pa FN	5098.5689999999995
SK-MEL-2	500Pa FN	1961.772
SK-MEL-2	500Pa FN	2060.8230000000003
SK-MEL-2	500Pa FN	3821.3820000000005
SK-MEL-2	500Pa FN	3429.141
SK-MEL-2	500Pa FN	2728.143
SK-MEL-2	500Pa FN	2476.836
SK-MEL-2	500Pa FN	4416.534000000001
SK-MEL-2	500Pa FN	1848.5700000000002
SK-MEL-2	500Pa FN	1027.866
SK-MEL-2	500Pa FN	8086.509
SK-MEL-2	500Pa FN	4630.485
SK-MEL-2	500Pa FN	1198.5149999999999
SK-MEL-2	500Pa FN	2086.293
SK-MEL-2	500Pa FN	2715.126
SK-MEL-2	500Pa FN	1852.533
