cl_id	sub_id	circularity
SK-MEL-2	500Pa Coll	0.385
SK-MEL-2	500Pa Coll	0.371
SK-MEL-2	500Pa Coll	0.903
SK-MEL-2	500Pa Coll	0.231
SK-MEL-2	500Pa Coll	0.477
SK-MEL-2	500Pa Coll	0.688
SK-MEL-2	500Pa Coll	0.424
SK-MEL-2	500Pa Coll	0.261
SK-MEL-2	500Pa Coll	0.521
SK-MEL-2	500Pa Coll	0.932
SK-MEL-2	500Pa Coll	0.58
SK-MEL-2	500Pa Coll	0.672
SK-MEL-2	500Pa Coll	0.681
SK-MEL-2	500Pa Coll	0.831
SK-MEL-2	500Pa Coll	0.914
SK-MEL-2	500Pa Coll	0.514
SK-MEL-2	500Pa Coll	0.939
SK-MEL-2	500Pa Coll	0.646
SK-MEL-2	500Pa Coll	0.925
SK-MEL-2	500Pa Coll	0.875
SK-MEL-2	500Pa Coll	0.431
SK-MEL-2	500Pa Coll	0.443
SK-MEL-2	500Pa Coll	0.404
SK-MEL-2	500Pa Coll	0.687
SK-MEL-2	500Pa Coll	0.657
SK-MEL-2	500Pa Coll	0.685
SK-MEL-2	500Pa Coll	0.701
SK-MEL-2	500Pa Coll	0.612
SK-MEL-2	500Pa Coll	0.739
SK-MEL-2	500Pa Coll	0.734
SK-MEL-2	500Pa Coll	0.537
SK-MEL-2	500Pa Coll	0.765
SK-MEL-2	500Pa Coll	0.841
SK-MEL-2	500Pa Coll	0.285
SK-MEL-2	500Pa Coll	0.875
SK-MEL-2	500Pa Coll	0.866
SK-MEL-2	500Pa Coll	0.824
SK-MEL-2	500Pa Coll	0.479
SK-MEL-2	500Pa Coll	0.763
SK-MEL-2	500Pa Coll	0.239
SK-MEL-2	500Pa Coll	0.569
SK-MEL-2	500Pa Coll	0.866
SK-MEL-2	500Pa Coll	0.855
SK-MEL-2	500Pa Coll	0.822
SK-MEL-2	500Pa Coll	0.916
SK-MEL-2	500Pa Coll	0.847
SK-MEL-2	500Pa Coll	0.717
SK-MEL-2	500Pa Coll	0.787
SK-MEL-2	500Pa Coll	0.76
SK-MEL-2	500Pa Coll	0.821
SK-MEL-2	500Pa Coll	0.797
SK-MEL-2	500Pa Coll	0.755
SK-MEL-2	500Pa Coll	0.849
SK-MEL-2	500Pa Coll	0.866
SK-MEL-2	500Pa Coll	0.822
SK-MEL-2	500Pa Coll	0.773
SK-MEL-2	500Pa Coll	0.802
SK-MEL-2	500Pa Coll	0.813
SK-MEL-2	500Pa Coll	0.699
SK-MEL-2	500Pa Coll	0.875
SK-MEL-2	500Pa Coll	0.903
SK-MEL-2	500Pa Coll	0.904
SK-MEL-2	500Pa Coll	0.929
SK-MEL-2	500Pa Coll	0.85
SK-MEL-2	500Pa Coll	0.779
SK-MEL-2	500Pa Coll	0.822
SK-MEL-2	500Pa Coll	0.907
SK-MEL-2	500Pa Coll	0.782
SK-MEL-2	500Pa Coll	0.728
SK-MEL-2	500Pa Coll	0.759
SK-MEL-2	500Pa Coll	0.775
SK-MEL-2	500Pa Coll	0.464
SK-MEL-2	500Pa Coll	0.721
SK-MEL-2	500Pa Coll	0.744
SK-MEL-2	500Pa Coll	0.928
SK-MEL-2	500Pa Coll	0.837
SK-MEL-2	500Pa Coll	0.755
SK-MEL-2	500Pa Coll	0.804
SK-MEL-2	500Pa Coll	0.876
SK-MEL-2	500Pa Coll	0.734
SK-MEL-2	500Pa Coll	0.829
SK-MEL-2	500Pa Coll	0.862
SK-MEL-2	500Pa Coll	0.912
SK-MEL-2	500Pa Coll	0.711
SK-MEL-2	500Pa Coll	0.789
SK-MEL-2	500Pa Coll	0.667
SK-MEL-2	500Pa Coll	0.752
SK-MEL-2	500Pa Coll	0.8
SK-MEL-2	500Pa Coll	0.741
SK-MEL-2	500Pa Coll	0.648
SK-MEL-2	500Pa Coll	0.926
SK-MEL-2	500Pa Coll	0.859
SK-MEL-2	500Pa Coll	0.886
SK-MEL-2	500Pa Coll	0.734
SK-MEL-2	500Pa Coll	0.769
SK-MEL-2	500Pa Coll	0.693
SK-MEL-2	500Pa Coll	0.668
SK-MEL-2	500Pa Coll	0.604
SK-MEL-2	500Pa Coll	0.937
SK-MEL-2	500Pa Coll	0.897
SK-MEL-2	500Pa Coll	0.869
SK-MEL-2	500Pa FN	0.889
SK-MEL-2	500Pa FN	0.66
SK-MEL-2	500Pa FN	0.908
SK-MEL-2	500Pa FN	0.556
SK-MEL-2	500Pa FN	0.65
SK-MEL-2	500Pa FN	0.437
SK-MEL-2	500Pa FN	0.607
SK-MEL-2	500Pa FN	0.616
SK-MEL-2	500Pa FN	0.25
SK-MEL-2	500Pa FN	0.819
SK-MEL-2	500Pa FN	0.402
SK-MEL-2	500Pa FN	0.766
SK-MEL-2	500Pa FN	0.795
SK-MEL-2	500Pa FN	0.43
SK-MEL-2	500Pa FN	0.32
SK-MEL-2	500Pa FN	0.247
SK-MEL-2	500Pa FN	0.313
SK-MEL-2	500Pa FN	0.551
SK-MEL-2	500Pa FN	0.707
SK-MEL-2	500Pa FN	0.765
SK-MEL-2	500Pa FN	0.617
SK-MEL-2	500Pa FN	0.531
SK-MEL-2	500Pa FN	0.665
SK-MEL-2	500Pa FN	0.871
SK-MEL-2	500Pa FN	0.706
SK-MEL-2	500Pa FN	0.792
SK-MEL-2	500Pa FN	0.694
SK-MEL-2	500Pa FN	0.634
SK-MEL-2	500Pa FN	0.707
SK-MEL-2	500Pa FN	0.784
SK-MEL-2	500Pa FN	0.289
SK-MEL-2	500Pa FN	0.223
SK-MEL-2	500Pa FN	0.632
SK-MEL-2	500Pa FN	0.523
SK-MEL-2	500Pa FN	0.746
SK-MEL-2	500Pa FN	0.519
SK-MEL-2	500Pa FN	0.096
SK-MEL-2	500Pa FN	0.549
SK-MEL-2	500Pa FN	0.168
SK-MEL-2	500Pa FN	0.661
