cl_id	sub_id	motility
SK-MEL-2	500Pa Coll	16.024365
SK-MEL-2	500Pa Coll	4.580631
SK-MEL-2	500Pa Coll	7.360961
SK-MEL-2	500Pa Coll	10.391306
SK-MEL-2	500Pa Coll	10.253452
SK-MEL-2	500Pa Coll	5.445226
SK-MEL-2	500Pa Coll	21.818399
SK-MEL-2	500Pa Coll	6.894891
SK-MEL-2	500Pa Coll	7.33687
SK-MEL-2	500Pa Coll	6.913361
SK-MEL-2	500Pa Coll	6.416919
SK-MEL-2	500Pa Coll	3.830273
SK-MEL-2	500Pa Coll	11.327113
SK-MEL-2	500Pa Coll	3.675011
SK-MEL-2	500Pa Coll	7.813436
SK-MEL-2	500Pa Coll	22.657129
SK-MEL-2	500Pa Coll	1.677852
SK-MEL-2	500Pa Coll	2.013423
SK-MEL-2	500Pa Coll	24.867354
SK-MEL-2	500Pa Coll	27.183549
SK-MEL-2	500Pa Coll	22.066868
SK-MEL-2	500Pa Coll	5.60678
SK-MEL-2	500Pa Coll	14.377407
SK-MEL-2	500Pa Coll	19.270601
SK-MEL-2	500Pa Coll	11.729758
SK-MEL-2	500Pa Coll	12.672154
SK-MEL-2	500Pa Coll	10.917913
SK-MEL-2	500Pa Coll	7.665924
SK-MEL-2	500Pa Coll	6.733052
SK-MEL-2	500Pa Coll	4.165843
SK-MEL-2	500Pa Coll	2.291418
SK-MEL-2	500Pa Coll	3.159132
SK-MEL-2	500Pa Coll	25.818942
SK-MEL-2	500Pa Coll	19.191612
SK-MEL-2	500Pa Coll	15.88001
SK-MEL-2	500Pa Coll	11.938231
SK-MEL-2	500Pa Coll	13.133445
SK-MEL-2	500Pa Coll	3.355705
SK-MEL-2	500Pa Coll	33.214207
SK-MEL-2	500Pa Coll	25.7534
SK-MEL-2	500Pa Coll	18.540384
SK-MEL-2	500Pa Coll	7.11436
SK-MEL-2	500Pa Coll	14.722946
SK-MEL-2	500Pa Coll	6.141129
SK-MEL-2	500Pa Coll	3.712918
SK-MEL-2	500Pa Coll	22.216385
SK-MEL-2	500Pa Coll	2.904985
SK-MEL-2	500Pa Coll	2.291418
SK-MEL-2	500Pa Coll	5.977369
SK-MEL-2	500Pa Coll	13.649295
SK-MEL-2	500Pa Coll	24.978875
SK-MEL-2	500Pa Coll	7.576004
SK-MEL-2	500Pa Coll	16.210502
SK-MEL-2	500Pa Coll	9.443509
SK-MEL-2	500Pa Coll	3.213588
SK-MEL-2	500Pa Coll	4.640412
SK-MEL-2	500Pa Coll	7.169714
SK-MEL-2	500Pa Coll	30.847132
SK-MEL-2	500Pa Coll	2.013423
SK-MEL-2	500Pa Coll	5.191992
