i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.477043365373519	0.428411207923347	0.525675522823691	500pacol	10
3	0.111125045263541	0.0529416699072009	0.169308420619882	500pacol	15
4	-0.0341673264368925	-0.0964954009384892	0.0281607480647043	500pacol	20
5	-0.0912473050932926	-0.154984086522108	-0.0275105236644769	500pacol	25
6	-0.111411393190294	-0.17162249069732	-0.051200295683268	500pacol	30
7	-0.0951154124267603	-0.160472887488618	-0.0297579373649026	500pacol	35
8	0.0309276738433156	-0.0394292633772092	0.10128461106384	500pacol	40
9	0.152139919607051	0.0827920509025484	0.221487788311554	500pacol	45
10	0.0780133308083934	0.00903737221839708	0.14698928939839	500pacol	50
11	0.120974834168885	0.0437399042454309	0.198209764092339	500pacol	55
12	0.018767885756831	-0.0610747126272323	0.0986104841408943	500pacol	60
13	0.0337065089169856	-0.0488169570679853	0.116229974901956	500pacol	65
14	0.0207847294001007	-0.0615202823799221	0.103089741180123	500pacol	70
15	-0.0448416635996436	-0.142004177874698	0.052320850675411	500pacol	75
16	-0.126561961353413	-0.229715616557154	-0.0234083061496716	500pacol	80
17	0.0217009659911378	-0.0768016753863051	0.120203607368581	500pacol	85
18	0.0875356165108168	-0.0284370615580863	0.20350829457972	500pacol	90
19	-0.0123246658731304	-0.138996069368127	0.114346737621867	500pacol	95
20	0.123811052075332	-0.0189374052028531	0.266559509353518	500pacol	100
21	0.0519286060713516	-0.107439177975398	0.211296390118101	500pacol	105
22	0.0582834407881752	-0.124586757574329	0.241153639150679	500pacol	110
23	0.0424431377787783	-0.153088252717271	0.237974528274828	500pacol	115
1	1	1	1	500pafn	5
2	0.502705548505297	0.462685568922402	0.542725528088193	500pafn	10
3	0.316187818603951	0.267014830192003	0.365360807015899	500pafn	15
4	0.192376720718335	0.135792510110253	0.248960931326416	500pafn	20
5	0.129828104637438	0.071872504823194	0.187783704451682	500pafn	25
6	0.141388695340308	0.0793819756703847	0.203395415010232	500pafn	30
7	0.144636499384385	0.0800893792767654	0.209183619492005	500pafn	35
8	0.153852984423504	0.0897714635206917	0.217934505326316	500pafn	40
9	0.0682544184449557	0.000746660326904861	0.135762176563007	500pafn	45
10	0.0669053342988574	-0.00484556482990027	0.138656233427615	500pafn	50
11	0.0753983508440639	0.00584016896827888	0.144956532719849	500pafn	55
12	0.0725495606737263	0.00204859653295103	0.143050524814502	500pafn	60
13	0.133407653944511	0.0555405979668314	0.211274709922191	500pafn	65
14	0.240260318404168	0.156890820374776	0.323629816433559	500pafn	70
15	0.186383247474986	0.102607552328275	0.270158942621697	500pafn	75
16	0.0893044912193467	-0.012170842219764	0.190779824658457	500pafn	80
17	0.110988984162964	0.0143573670250255	0.207620601300903	500pafn	85
18	0.077320011019511	-0.024280832568752	0.178920854607774	500pafn	90
19	0.0994622541196542	-0.0175768124491333	0.216501320688442	500pafn	95
20	-0.0550242638839648	-0.187810455158137	0.0777619273902071	500pafn	100
21	0.000644365728231825	-0.153658888132039	0.154947619588503	500pafn	105
22	-0.134164078649987	-0.365584811419451	0.0972566541194763	500pafn	110
