i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.712726306294239	0.691174637255952	0.734277975332525	500pacol	10
3	0.49589856793935	0.466312674255417	0.525484461623283	500pacol	15
4	0.246743139933966	0.210495469229044	0.282990810638887	500pacol	20
5	0.0514038870974102	0.0109236536412508	0.0918841205535697	500pacol	25
6	-0.108116240506033	-0.149976073532617	-0.0662564074794489	500pacol	30
7	-0.17615749073541	-0.218360499100657	-0.133954482370163	500pacol	35
8	-0.260108395887862	-0.301634385325246	-0.218582406450478	500pacol	40
9	-0.27261966475749	-0.315554749986948	-0.229684579528032	500pacol	45
10	-0.251695031801929	-0.295526534649214	-0.207863528954645	500pacol	50
11	-0.171366137840571	-0.22087365035181	-0.121858625329332	500pacol	55
12	-0.0863764289452661	-0.134548355430005	-0.0382045024605275	500pacol	60
13	0.0668264759238384	0.0146803318530104	0.118972619994666	500pacol	65
14	0.216704475930986	0.161765666519551	0.271643285342421	500pacol	70
15	0.313779402981337	0.25602496977437	0.371533836188305	500pacol	75
16	0.218162255011367	0.152248202659642	0.284076307363093	500pacol	80
17	0.234253724624098	0.162903003498317	0.305604445749878	500pacol	85
18	0.172823828434745	0.0979984658617048	0.247649191007785	500pacol	90
19	0.137636635343388	0.0510125759557684	0.224260694731007	500pacol	95
20	0.0429544217953112	-0.0492065875331907	0.135115431123813	500pacol	100
21	-0.232668860608045	-0.348097866106105	-0.117239855109985	500pacol	105
22	-0.191979000302175	-0.32146700662411	-0.0624909939802399	500pacol	110
23	-0.206232289774009	-0.414551482937483	0.00208690338946446	500pacol	115
24	0.0392898563286402	-0.370076498864547	0.448656211521827	500pacol	120
1	1	1	1	500pafn	5
2	0.658870290178409	0.630638169956148	0.687102410400671	500pafn	10
3	0.361682332964024	0.321234662738463	0.402130003189585	500pafn	15
4	0.0780143446667471	0.0325224673105283	0.123506222022966	500pafn	20
5	-0.111048857113553	-0.156933791627113	-0.065163922599993	500pafn	25
6	-0.21127853830832	-0.26168038973238	-0.16087668688426	500pafn	30
7	-0.21867815927303	-0.269314864451446	-0.168041454094615	500pafn	35
8	-0.179587798926464	-0.23167914877883	-0.127496449074097	500pafn	40
9	-0.126104823945065	-0.177465774775688	-0.0747438731144421	500pafn	45
10	-0.138616173188952	-0.194305534161871	-0.0829268122160334	500pafn	50
11	-0.0274246783998833	-0.0818378281096823	0.0269884713099158	500pafn	55
12	-0.0262024775202104	-0.0911309232243105	0.0387259681838898	500pafn	60
13	-0.136815732705903	-0.200102246479916	-0.0735292189318904	500pafn	65
14	-0.0875086544870723	-0.151782046210979	-0.0232352627631651	500pafn	70
15	-0.130387221301922	-0.199761775113846	-0.0610126674899981	500pafn	75
16	-0.026672773429735	-0.101831329692344	0.0484857828328739	500pafn	80
17	0.0068532329318333	-0.0734070520915289	0.0871135179551955	500pafn	85
18	-0.0223443387165146	-0.115273681360612	0.0705850039275833	500pafn	90
19	0.0378991953049643	-0.0572092869307335	0.133007677540662	500pafn	95
20	0.0455588861908295	-0.055288227156142	0.146405999537801	500pafn	100
21	-0.110581087771213	-0.223330399032112	0.00216822348968704	500pafn	105
22	-0.0425070465938473	-0.162303712410244	0.0772896192225492	500pafn	110
23	0.0506667632272408	-0.116971728597682	0.218305255052164	500pafn	115
24	-0.155807079179364	-0.479725844984498	0.16811168662577	500pafn	120
1	1	1	1	30kpacol	5
2	0.69238602134962	0.670073803670975	0.714698239028266	30kpacol	10
3	0.377815668379049	0.345560147999512	0.410071188758586	30kpacol	15
4	0.112819210780501	0.0773886152742068	0.148249806286796	30kpacol	20
5	-0.02014518844205	-0.0567655521701105	0.0164751752860105	30kpacol	25
6	-0.0825634698025199	-0.119944282024367	-0.0451826575806726	30kpacol	30
7	-0.148459960424804	-0.185621263077462	-0.111298657772145	30kpacol	35
8	-0.154407593697034	-0.194728092663479	-0.114087094730589	30kpacol	40
9	-0.0817215160299544	-0.123125617874598	-0.0403174141853104	30kpacol	45
10	-0.0929923878431908	-0.136177021249706	-0.0498077544366759	30kpacol	50
11	-0.0257509819523062	-0.0712695704596666	0.0197676065550542	30kpacol	55
12	0.0215831732546819	-0.0257910389498226	0.0689573854591864	30kpacol	60
13	0.143868261685349	0.0928834715142428	0.194853051856455	30kpacol	65
14	0.127833471352519	0.0749716057248107	0.180695336980227	30kpacol	70
15	0.11745556513503	0.0633836905048403	0.17152743976522	30kpacol	75
16	0.0688669831636748	0.0140567135003149	0.123677252827035	30kpacol	80
17	0.131270699383568	0.069530952239466	0.19301044652767	30kpacol	85
18	0.117706103068001	0.0543709259233978	0.181041280212604	30kpacol	90
19	0.123826638667323	0.0503634632127476	0.197289814121898	30kpacol	95
20	0.0548489307143931	-0.0305542703576382	0.140252131786424	30kpacol	100
21	-0.0143242043564967	-0.105962540844429	0.0773141321314357	30kpacol	105
22	-0.0699574845980099	-0.173964052553504	0.0340490833574837	30kpacol	110
23	0.0576402684549648	-0.0796233035622718	0.194903840472201	30kpacol	115
24	-0.195768584876432	-0.439963443959654	0.0484262742067895	30kpacol	120
1	1	1	1	30kpafn	5
2	0.734632107637177	0.717561701422509	0.751702513851846	30kpafn	10
3	0.456257425722689	0.429777266340707	0.48273758510467	30kpafn	15
4	0.199580775716607	0.167490564138749	0.231670987294465	30kpafn	20
5	-0.0255023817922771	-0.0596986659120248	0.00869390232747047	30kpafn	25
6	-0.133529289815915	-0.168027938932866	-0.0990306406989651	30kpafn	30
7	-0.19539043822419	-0.230859576972785	-0.159921299475594	30kpafn	35
8	-0.175286668407888	-0.210829949150192	-0.139743387665583	30kpafn	40
9	-0.120838553512571	-0.158526141236224	-0.083150965788919	30kpafn	45
10	-0.0168478029620493	-0.0576320622992052	0.0239364563751065	30kpafn	50
11	0.050988939116582	0.00882523211756085	0.0931526461156032	30kpafn	55
12	0.0549159142799681	0.00992437912763978	0.0999074494322964	30kpafn	60
13	0.00648823872110943	-0.0396761353530999	0.0526526127953188	30kpafn	65
14	0.00537857738424021	-0.0432616171028688	0.0540187718713493	30kpafn	70
15	-0.0237366238569043	-0.0742942482629819	0.0268210005491732	30kpafn	75
16	-0.000207648203441792	-0.0576558678778847	0.0572405714710011	30kpafn	80
17	0.016660428145966	-0.0465396591673985	0.0798605154593304	30kpafn	85
18	0.052731586095867	-0.0115784702311683	0.117041642422902	30kpafn	90
19	0.0953625095383542	0.0272777424710553	0.163447276605653	30kpafn	95
20	0.169803980384036	0.0953188521628563	0.244289108605216	30kpafn	100
21	0.184913018562785	0.105203339011812	0.264622698113758	30kpafn	105
22	0.0846074296924275	-0.00588932242026757	0.175104181805123	30kpafn	110
23	-0.100990596796107	-0.215910406065979	0.0139292124737646	30kpafn	115
24	0.0215351712142448	-0.248477865392167	0.291548207820657	30kpafn	120
1	1	1	1	hacol	5
2	0.645523004261826	0.624505401607083	0.666540606916568	hacol	10
3	0.246639412588367	0.218489691513544	0.274789133663191	hacol	15
4	-0.0764662052303811	-0.106321252160827	-0.0466111582999348	hacol	20
5	-0.22517996264683	-0.256386390516926	-0.193973534776733	hacol	25
6	-0.271144578384758	-0.302588406493864	-0.239700750275652	hacol	30
7	-0.229890047143258	-0.262657245891828	-0.197122848394688	hacol	35
8	-0.175957326185477	-0.20949369411945	-0.142420958251504	hacol	40
9	-0.0893899282758303	-0.126195472623255	-0.0525843839284059	hacol	45
10	-0.017653390247157	-0.056144486587234	0.02083770609292	hacol	50
11	0.0418218259949062	0.00301716380336177	0.0806264881864507	hacol	55
12	0.0725825725619319	0.0334287175923009	0.111736427531563	hacol	60
13	0.0352156352703472	-0.00629483050804065	0.076726101048735	hacol	65
14	0.00804683881077287	-0.0371008232947888	0.0531945009163345	hacol	70
15	0.0120275124899961	-0.0369609665785009	0.0610159915584932	hacol	75
16	0.0968776011809127	0.0474505069636591	0.146304695398166	hacol	80
17	0.104643469652052	0.0506690617359994	0.158617877568105	hacol	85
18	0.0812396870902487	0.0226032091948577	0.13987616498564	hacol	90
19	0.0498982035672833	-0.0186431410247942	0.118439548159361	hacol	95
20	0.0550740909601027	-0.0162930440667932	0.126441225986999	hacol	100
21	-0.0545641315113182	-0.130450277184386	0.0213220141617493	hacol	105
22	-0.173833845278777	-0.250730802779298	-0.0969368877782558	hacol	110
23	-0.104862248940535	-0.210798543112036	0.00107404523096671	hacol	115
24	0.194064945252889	-0.035404321763323	0.4235342122691	hacol	120
1	1	1	1	hafn	5
2	0.66649785496162	0.64552498454444	0.687470725378799	hafn	10
3	0.384578267607883	0.354141887282213	0.415014647933554	hafn	15
4	0.129760410912312	0.0955630973554456	0.163957724469178	hafn	20
5	-0.0533659569597958	-0.0888252551909971	-0.0179066587285946	hafn	25
6	-0.130296850146232	-0.167455860319012	-0.0931378399734522	hafn	30
7	-0.189815904811092	-0.229479233395344	-0.15015257622684	hafn	35
8	-0.169894366580267	-0.21122176008486	-0.128566973075674	hafn	40
9	-0.134029424917445	-0.17449211741935	-0.0935667324155391	hafn	45
10	-0.104443451052708	-0.14744330692258	-0.061443595182836	hafn	50
11	-0.047805542846769	-0.0935352486385228	-0.0020758370550152	hafn	55
12	0.0110674246097125	-0.0352240469921006	0.0573588962115257	hafn	60
13	-0.0103934215384668	-0.0619354467911733	0.0411486037142398	hafn	65
14	0.00103052528528744	-0.0497722975425609	0.0518333481131358	hafn	70
15	0.0378028204787868	-0.0162040198344224	0.0918096607919959	hafn	75
16	0.0453724611861399	-0.010723805092837	0.101468727465117	hafn	80
17	0.0668826482119762	0.00642451466762373	0.127340781756329	hafn	85
18	-0.0535023347221359	-0.118280934473971	0.0112762650296988	hafn	90
19	0.00065241098537981	-0.071962024465941	0.0732668464367006	hafn	95
