i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.247125381524041	0.225468290187355	0.268782472860728	500pacol	10
3	0.127514059855822	0.104054383342273	0.15097373636937	500pacol	15
4	0.0876201822414271	0.0635334966193473	0.111706867863507	500pacol	20
5	0.0923032099918835	0.066962854011564	0.117643565972203	500pacol	25
6	0.107228906755721	0.080918055277373	0.133539758234069	500pacol	30
7	0.0580107620058354	0.0307121222885393	0.0853094017231315	500pacol	35
8	0.0779856668718399	0.0497782138884039	0.106193119855276	500pacol	40
9	0.106039596642399	0.076342383618723	0.135736809666076	500pacol	45
10	0.0317780742253176	-1.77882066948187e-05	0.06357393665733	500pacol	50
11	0.0417991765286211	0.00874191690950903	0.0748564361477333	500pacol	55
12	0.0298667962465243	-0.00593564026029708	0.0656692327533457	500pacol	60
13	0.0164550559875252	-0.0215707037500637	0.0544808157251142	500pacol	65
14	0.0350271537639068	-0.00739331688261721	0.0774476244104308	500pacol	70
15	-0.0511119200138227	-0.098618276608092	-0.00360556341955345	500pacol	75
16	0.0374357836629283	-0.0165489199393237	0.0914204872651803	500pacol	80
17	0.111590677156803	0.0473593257051144	0.175822028608492	500pacol	85
18	0.0722147966923827	-0.0185511159339229	0.162980709318688	500pacol	90
1	1	1	1	30kpacol	5
2	0.223612361120904	0.1883143232835	0.258910398958309	30kpacol	10
3	0.127042402260423	0.090748268063971	0.163336536456875	30kpacol	15
4	0.0870407268156594	0.0487859871549218	0.125295466476397	30kpacol	20
5	0.021893246805342	-0.0179904548451364	0.0617769484558204	30kpacol	25
6	0.117880837074146	0.074805828426	0.160955845722291	30kpacol	30
7	0.187861761044919	0.141951611136352	0.233771910953486	30kpacol	35
8	0.190526356154055	0.14339430283266	0.237658409475449	30kpacol	40
9	0.0976873067419492	0.0446653572518586	0.15070925623204	30kpacol	45
10	0.127000936990124	0.068991569817027	0.185010304163221	30kpacol	50
11	0.0578857973836629	-0.00996851279808653	0.125740107565412	30kpacol	55
12	0.223403248675092	0.142104767717441	0.304701729632743	30kpacol	60
13	0.206256733937245	0.101429724844055	0.311083743030435	30kpacol	65
1	1	1	1	30kpafn	5
2	0.000510308050603495	-0.0345661340966908	0.0355867501978978	30kpafn	10
3	0.0290749119670724	-0.00655222664662432	0.0647020505807692	30kpafn	15
4	0.0110886247291617	-0.0238301215914421	0.0460073710497655	30kpafn	20
5	0.0444287016610953	0.00844125695456738	0.0804161463676232	30kpafn	25
6	-0.0493955313088038	-0.0867153979756962	-0.0120756646419113	30kpafn	30
7	0.0159779161930748	-0.0248743360917815	0.0568301684779311	30kpafn	35
8	0.0115366472426367	-0.0294278192921752	0.0525011137774487	30kpafn	40
9	-0.0228500942073575	-0.0654586593683045	0.0197584709535896	30kpafn	45
10	-0.0582757068747766	-0.102107306045944	-0.0144441077036092	30kpafn	50
11	0.0386809333798641	-0.00562934699485408	0.0829912137545823	30kpafn	55
12	-0.0559795039311591	-0.105863112497778	-0.00609589536454064	30kpafn	60
13	-0.0472356410135634	-0.0991438452517263	0.00467256322459954	30kpafn	65
14	-0.0138072730952357	-0.0714366734741354	0.043822127283664	30kpafn	70
15	0.031078988999338	-0.0360486077965283	0.0982065857952044	30kpafn	75
16	-0.132863483956763	-0.202654881642679	-0.0630720862708467	30kpafn	80
17	0.0306411373572142	-0.060847620555984	0.122129895270412	30kpafn	85
18	-0.076917176482845	-0.197444344988865	0.0436099920231747	30kpafn	90
1	1	1	1	hacol	5
2	0.185832600115936	0.155081887923674	0.216583312308197	hacol	10
3	0.0932394324219436	0.0621759006603168	0.12430296418357	hacol	15
4	0.0467923424976861	0.0153691804230634	0.0782155045723089	hacol	20
5	0.028502043768511	-0.00422284410120978	0.0612269316382318	hacol	25
6	0.102491411922092	0.067404552240616	0.137578271603569	hacol	30
7	0.0370638041666011	0.000257995603138834	0.0738696127300633	hacol	35
8	0.0185456788483448	-0.0177660513672598	0.0548574090639494	hacol	40
9	0.0682899429196936	0.0306145562785906	0.105965329560797	hacol	45
10	0.00774700431329286	-0.0327766969147025	0.0482707055412883	hacol	50
11	-0.0130093309276047	-0.0554242185064502	0.0294055566512409	hacol	55
12	0.0770344466998159	0.032476403557411	0.121592489842221	hacol	60
13	0.0144896161215633	-0.03352962931044	0.0625088615535667	hacol	65
14	0.11857420422629	0.0671840280540454	0.169964380398534	hacol	70
15	0.0254940951887815	-0.0324247861637951	0.083412976541358	hacol	75
