i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	6.5
2	-0.137339058039521	-0.183430604587271	-0.0912475114917697	500pacol	13
3	-0.0878174955153442	-0.133996724584223	-0.0416382664464659	500pacol	19.5
4	-0.0787039811994038	-0.125986397882402	-0.0314215645164053	500pacol	26
5	0.10579241010202	0.055914888882461	0.155669931321578	500pacol	32.5
6	-0.00361610535219542	-0.057458014197619	0.0502258034932282	500pacol	39
7	-0.0293830011850446	-0.082880750311073	0.0241147479409838	500pacol	45.5
8	0.0528003733954519	-0.00375043728167186	0.109351184072576	500pacol	52
9	-0.0410833225844832	-0.102522536239905	0.0203558910709389	500pacol	58.5
10	0.0128279149916698	-0.0534115833333439	0.0790674133166836	500pacol	65
11	0.080248887015372	0.00736719065537592	0.153130583375368	500pacol	71.5
12	0.0513123217858189	-0.0362824009209502	0.138907044492588	500pacol	78
13	-0.0761097502592208	-0.175305950117815	0.0230864495993732	500pacol	84.5
14	-0.0772365675298706	-0.208057309474774	0.0535841744150326	500pacol	91
15	-0.109011062207166	-0.352404109916597	0.134381985502266	500pacol	97.5
16	-0.0494963087214998	-0.383940229286716	0.284947611843716	500pacol	104
17	-0.1911024175779	-0.493764009897991	0.111559174742192	500pacol	110.5
18	0.234236009211113	-0.383264112260211	0.851736130682436	500pacol	117
1	1	1	1	500pafn	6.5
2	-0.0173821455925476	-0.0541521173550098	0.0193878261699146	500pafn	13
3	0.0391318817714887	0.00278421802686103	0.0754795455161164	500pafn	19.5
4	-0.0586405735828305	-0.0950133185273571	-0.022267828638304	500pafn	26
5	0.00226730245712449	-0.0368942981287712	0.0414289030430201	500pafn	32.5
6	0.0366238736715702	-0.0039275968590033	0.0771753442021437	500pafn	39
7	0.0380428931981435	-0.00347202321875606	0.079557809615043	500pafn	45.5
8	0.0163631983797411	-0.0280160186014579	0.0607424153609401	500pafn	52
9	0.10789737142022	0.0615058023414405	0.154288940498999	500pafn	58.5
10	0.0231165353777057	-0.0250361157709694	0.0712691865263807	500pafn	65
11	-0.0379138613456313	-0.0931601018145744	0.0173323791233117	500pafn	71.5
12	0.131322402087892	0.0727706905744157	0.189874113601369	500pafn	78
13	-0.0160080740320253	-0.0863268978038165	0.0543107497397659	500pafn	84.5
14	-0.0279140373329677	-0.109450178548453	0.0536221038825172	500pafn	91
15	0.0136224320789734	-0.0794619124008555	0.106706776558802	500pafn	97.5
16	0.20985000035282	0.0732659447690059	0.346434055936635	500pafn	104
17	-0.100403218731549	-0.278684214707631	0.0778777772445335	500pafn	110.5
18	-0.187322921503798	-0.388358287330903	0.0137124443233079	500pafn	117
19	-0.0421765362979868	-0.360739519083541	0.276386446487567	500pafn	123.5
20	-0.0716940990604426	-0.424624720392832	0.281236522271947	500pafn	130
1	1	1	1	30kpacol	6.5
2	0.0677065362673098	0.0248713450322427	0.110541727502377	30kpacol	13
3	0.00561801386696801	-0.0380479736452522	0.0492840013791882	30kpacol	19.5
4	0.0783473379780215	0.0340985204246184	0.122596155531425	30kpacol	26
5	0.0349787509109504	-0.0100371192429095	0.0799946210648102	30kpacol	32.5
6	-0.0021361937449009	-0.0473410905858396	0.0430687030960378	30kpacol	39
7	0.0219871851221396	-0.029116494412039	0.0730908646563182	30kpacol	45.5
8	0.117920907317001	0.068225662519261	0.167616152114741	30kpacol	52
9	0.0557336275921912	0.000704835926411088	0.110762419257971	30kpacol	58.5
10	0.115556322288819	0.0540242695062244	0.177088375071413	30kpacol	65
11	-0.0238517473120892	-0.0860010363442621	0.0382975417200837	30kpacol	71.5
12	0.109417462430213	0.0396085310759989	0.179226393784427	30kpacol	78
13	0.0520236653036458	-0.0248800361570822	0.128927366764374	30kpacol	84.5
