i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.413673933008021	0.384496416077647	0.442851449938396	500pacol	10
3	0.189968359344162	0.157006296417032	0.222930422271293	500pacol	15
4	0.122187847803332	0.089291187431993	0.155084508174671	500pacol	20
5	0.154820917653635	0.120014223635599	0.189627611671672	500pacol	25
6	0.1182582098512	0.0827401803324918	0.153776239369908	500pacol	30
7	0.143297707345498	0.107159144125432	0.179436270565564	500pacol	35
8	0.0943731560859806	0.0564962277943032	0.132250084377658	500pacol	40
9	0.0635204301373346	0.0247523457370058	0.102288514537663	500pacol	45
10	0.076640012317369	0.0366856426947432	0.116594381939995	500pacol	50
11	0.0594889862971453	0.0185972247504258	0.100380747843865	500pacol	55
12	0.00743821805575385	-0.0346146083272492	0.0494910444387569	500pacol	60
13	-0.0447286301916195	-0.0898677901360953	0.000410529752856319	500pacol	65
14	-0.00135609717324208	-0.0479246325185346	0.0452124381720505	500pacol	70
15	0.0103338181993258	-0.0368501268810861	0.0575177632797377	500pacol	75
16	0.0314658525481189	-0.0180435499782534	0.0809752550744913	500pacol	80
17	0.0420140147091847	-0.0126537753703686	0.096681804788738	500pacol	85
18	-0.0688899180169729	-0.12525076643611	-0.0125290695978364	500pacol	90
19	-0.0596819951888468	-0.120501378835379	0.00113738845768508	500pacol	95
20	-0.0140847491808791	-0.0808843508170225	0.0527148524552643	500pacol	100
21	0.0341947797878401	-0.037495396974806	0.105884956550486	500pacol	105
22	-0.115578278218289	-0.195934754811711	-0.0352218016248668	500pacol	110
23	0.0308052915116575	-0.0822011100177108	0.143811693041026	500pacol	115
24	0.0781146527772152	-0.0746358561603651	0.230865161714796	500pacol	120
1	1	1	1	500pafn	5
2	0.191126720308565	0.14990675882353	0.232346681793599	500pafn	10
3	-0.0434528549559952	-0.0857853937944619	-0.00112031611752855	500pafn	15
4	-0.0351480819577775	-0.0798439266703503	0.00954776275479522	500pafn	20
5	0.0342460403191449	-0.0116075466277309	0.0800996272660206	500pafn	25
6	-0.0211089021794297	-0.0694851067310562	0.0272673023721969	500pafn	30
7	-0.0731615938336203	-0.122660895044561	-0.0236622926226799	500pafn	35
8	-0.0497566619514564	-0.0992720254643966	-0.000241298438516245	500pafn	40
9	-0.0507393999014944	-0.101974482830424	0.000495683027434905	500pafn	45
10	-0.0714742611483512	-0.122322101929864	-0.0206264203668383	500pafn	50
11	-0.0639919116572349	-0.119910677839214	-0.00807314547525561	500pafn	55
12	0.174263768095165	0.11647749977894	0.232050036411389	500pafn	60
13	0.0307048637188002	-0.0268230402506436	0.088232767688244	500pafn	65
14	-0.0401781960902201	-0.104182907762837	0.0238265155823967	500pafn	70
15	0.0335266704360799	-0.0317631032800104	0.0988164441521702	500pafn	75
16	0.0413035981825093	-0.0274869384757501	0.110094134840769	500pafn	80
17	-0.0307143522666644	-0.104878432695291	0.0434497281619623	500pafn	85
18	-0.020865763443221	-0.0931086704771796	0.0513771435907376	500pafn	90
19	-0.0821698352944909	-0.169866459896296	0.00552678930731379	500pafn	95
20	0.00771429762626996	-0.0765845548098202	0.0920131500623601	500pafn	100
21	-0.130759497023716	-0.221235855542314	-0.0402831385051175	500pafn	105
22	-0.129961982775488	-0.247289618667822	-0.0126343468831533	500pafn	110
23	-0.0152408960440521	-0.157991558157584	0.12750976606948	500pafn	115
24	-0.128035483997927	-0.310624612690452	0.0545536446945977	500pafn	120
1	1	1	1	30kpacol	5
2	0.426441369623288	0.398059990714537	0.454822748532038	30kpacol	10
3	0.142269819162139	0.109649767925175	0.174889870399103	30kpacol	15
4	-0.0158021922789947	-0.0499135487109176	0.0183091641529282	30kpacol	20
5	-0.0559260008865067	-0.0914410182294236	-0.0204109835435897	30kpacol	25
6	-0.0486334236897485	-0.0848713213809861	-0.0123955259985109	30kpacol	30
7	-0.0585440981646555	-0.0948865068623969	-0.022201689466914	30kpacol	35
8	-0.0622670632075741	-0.100521729776963	-0.0240123966381852	30kpacol	40
9	0.0134965321625287	-0.0255094067683332	0.0525024710933906	30kpacol	45
10	-0.034382319158967	-0.0741913172139798	0.00542667889604565	30kpacol	50
11	-0.000258132105396076	-0.0424518700639646	0.0419356058531725	30kpacol	55
12	0.0255467604078341	-0.0189872539963606	0.0700807748120288	30kpacol	60
13	0.0165676497948501	-0.030897243692808	0.0640325432825082	30kpacol	65
14	0.0179268316045793	-0.0302413935874254	0.0660950567965839	30kpacol	70
15	-0.0818734087088356	-0.131466417675902	-0.0322803997417693	30kpacol	75
16	-0.0499226524994187	-0.101642973877486	0.0017976688786488	30kpacol	80
17	-0.0826398918114247	-0.136524643978164	-0.0287551396446855	30kpacol	85
18	-0.0333821946768572	-0.0921968393723232	0.0254324500186088	30kpacol	90
19	-0.0544265939335924	-0.121950414760659	0.0130972268934742	30kpacol	95
20	-0.0600474354236734	-0.12942914503786	0.00933427419051338	30kpacol	100
21	-0.042072347080952	-0.12260032682377	0.0384556326618662	30kpacol	105
22	0.0616697480606601	-0.0315760855841863	0.154915581705506	30kpacol	110
23	-0.0505141678313647	-0.171935087557032	0.0709067518943029	30kpacol	115
24	-0.100689452830643	-0.254064034698527	0.0526851290372402	30kpacol	120
1	1	1	1	30kpafn	5
