i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	-0.115568060151288	-0.156761802875096	-0.0743743174274795	500pacol	10
3	-0.00720580494375946	-0.0470370085915582	0.0326253987040393	500pacol	15
4	0.0348183963630365	-0.0100695214282517	0.0797063141543247	500pacol	20
5	0.0323904378362981	-0.0141843663070889	0.0789652419796852	500pacol	25
6	0.150153516123365	0.104018743760037	0.196288288486694	500pacol	30
7	0.0587009751444287	0.00661438872727531	0.110787561561582	500pacol	35
8	0.0719776922225987	0.0165803895176588	0.127374994927539	500pacol	40
9	0.0639691853349976	0.00753666391414786	0.120401706755847	500pacol	45
10	0.107482474281828	0.046455373399551	0.168509575164106	500pacol	50
11	0.0201447616289311	-0.0501053337916044	0.0903948570494666	500pacol	55
12	-0.0372640450987796	-0.110998452512819	0.03647036231526	500pacol	60
13	0.0108044693122748	-0.0794894832084518	0.101098421833001	500pacol	65
14	0.291910059644944	0.190811669254542	0.393008450035346	500pacol	70
15	-0.00952288577703835	-0.185551712931301	0.166505941377224	500pacol	75
1	1	1	1	30kpacol	5
2	-0.00307791848947081	-0.0405101278201952	0.0343542908412536	30kpacol	10
3	0.187210924054336	0.152183018689575	0.222238829419096	30kpacol	15
4	0.0721633446636777	0.0351896060660903	0.109137083261265	30kpacol	20
5	0.0197688396704239	-0.0195506369979175	0.0590883163387652	30kpacol	25
6	0.0266543687789632	-0.0136302719255953	0.0669390094835216	30kpacol	30
7	0.0489248083044997	0.00769964635878767	0.0901499702502117	30kpacol	35
8	0.0355385644941623	-0.00750761406089037	0.0785847430492149	30kpacol	40
9	0.0468020027975131	0.00170039148164696	0.0919036141133791	30kpacol	45
10	0.127422498912976	0.0824039851230257	0.172441012702926	30kpacol	50
11	0.0488572271605984	0.00147552488630383	0.0962389294348929	30kpacol	55
12	0.0559368609804341	0.00603795948752319	0.105835762473345	30kpacol	60
13	0.109612616401906	0.0601042805345576	0.159120952269254	30kpacol	65
14	0.0672862986178029	0.0159268990121194	0.118645698223486	30kpacol	70
15	0.0946890984702553	0.0374968171817614	0.151881379758749	30kpacol	75
16	0.00822821426243714	-0.0503945791961228	0.0668510077209971	30kpacol	80
17	0.0296608707371127	-0.0301737428198203	0.0894954842940457	30kpacol	85
18	-0.0875686413386633	-0.15564618800999	-0.0194910946673367	30kpacol	90
19	0.0202850627481017	-0.0506202847546129	0.0911904102508163	30kpacol	95
20	-0.0607827272345034	-0.141351409771555	0.0197859553025478	30kpacol	100
21	0.105433971729521	0.0128840989716194	0.197983844487423	30kpacol	105
22	-0.105334765418102	-0.200653480458045	-0.0100160503781594	30kpacol	110
23	-0.181410611463074	-0.315127646777404	-0.0476935761487448	30kpacol	115
24	0.0920689839796514	-0.0870874287393442	0.271225396698647	30kpacol	120
1	1	1	1	30kpafn	5
2	-0.145802612336517	-0.201696877594399	-0.089908347078635	30kpafn	10
3	-0.0494168072220617	-0.115276012679273	0.0164423982351493	30kpafn	15
4	0.0048296677500786	-0.0598701891032348	0.069529524603392	30kpafn	20
5	0.182669370884638	0.118050845183678	0.247287896585599	30kpafn	25
6	0.0810030327466084	0.0112137803027354	0.150792285190481	30kpafn	30
7	-0.0651493820738938	-0.131502854755958	0.00120409060817044	30kpafn	35
8	0.0236191130414019	-0.044760231539672	0.0919984576224758	30kpafn	40
9	0.0975263664100561	0.0233728495099783	0.171679883310134	30kpafn	45
10	0.086877324441419	0.00808710557019642	0.165667543312642	30kpafn	50
11	0.16328125142146	0.0769540882984906	0.249608414544429	30kpafn	55
12	-0.0838750008695727	-0.171935838523476	0.00418583678433064	30kpafn	60
13	0.0809647169404074	-0.0108917195688596	0.172821153449674	30kpafn	65
14	0.129586648558774	0.043895705483072	0.215277591634477	30kpafn	70
15	0.0492643546740013	-0.0513257363901852	0.149854445738188	30kpafn	75
16	0.0358653966972653	-0.0617684639713221	0.133499257365853	30kpafn	80
17	0.0327647996507379	-0.0645624750854372	0.130092074386913	30kpafn	85
18	0.277785488513281	0.191569494343737	0.364001482682825	30kpafn	90
19	0.289504494501508	0.174734655346429	0.404274333656587	30kpafn	95
20	-0.10445090574364	-0.218227227689283	0.00932541620200224	30kpafn	100
21	0.0547286036027812	-0.0854518806762571	0.194909087881819	30kpafn	105
22	0.132543853935878	-0.0246385715066075	0.289726279378363	30kpafn	110
23	0.128699490385875	-0.0597381380249455	0.317137118796695	30kpafn	115
24	0.344220986458436	0.0691024957765869	0.619339477140284	30kpafn	120
1	1	1	1	hacol	5
2	-0.155694752151507	-0.198389338310815	-0.113000165992199	hacol	10
3	0.00516128574021335	-0.0393874854858204	0.0497100569662471	hacol	15
4	0.0583533389532193	0.0136283975160457	0.103078280390393	hacol	20
5	0.0385377934342427	-0.00754283155741138	0.0846184184258968	hacol	25
6	0.101500292029221	0.0527634052063142	0.150237178852127	hacol	30
7	0.0471593980591756	-0.00312365830987371	0.0974424544282249	hacol	35
8	0.00730835018144745	-0.0435407058663907	0.0581574062292856	hacol	40
9	-0.0448888710494438	-0.0967846042159581	0.00700686211707042	hacol	45
10	0.0588103559949216	0.00343812976039379	0.114182582229449	hacol	50
11	0.0530913993452924	-0.00374515291587019	0.109927951606455	hacol	55
12	0.036393653050232	-0.0239590245660741	0.0967463306665381	hacol	60
13	0.0666226943814633	0.00384589440847793	0.129399494354449	hacol	65
14	0.0656398749040357	0.00244978461352546	0.128829965194546	hacol	70
15	-0.11876838783936	-0.182832446385029	-0.0547043292936921	hacol	75
16	0.0867872892501921	0.0198511806625705	0.153723397837814	hacol	80
17	-0.0119092166104602	-0.0882465679817167	0.0644281347607962	hacol	85
18	0.102685231722877	0.0217157962002449	0.18365466724551	hacol	90
19	0.115722515494869	0.0311096442924467	0.200335386697292	hacol	95
20	-0.0783454809490526	-0.185725299376635	0.0290343374785303	hacol	100
21	-0.115911539640033	-0.239327629399249	0.00750455011918361	hacol	105
22	-0.140890587322072	-0.265914868910901	-0.0158663057332426	hacol	110
23	-0.0859315712695297	-0.310595576455779	0.138732433916719	hacol	115
1	1	1	1	glass	5
2	-0.189609765201793	-0.22519137274428	-0.154028157659306	glass	10
3	-0.131688171140941	-0.16961683402162	-0.093759508260261	glass	15
4	0.0018883503896445	-0.0368209852277061	0.0405976860069951	glass	20
5	-0.0113089849816923	-0.0502532514220121	0.0276352814586275	glass	25
6	-0.0110212228057206	-0.052621344955205	0.0305788993437638	glass	30
7	0.0039517662123935	-0.0374670269022589	0.0453705593270459	glass	35
8	0.0522958249596568	0.00863480496074887	0.0959568449585647	glass	40
9	-0.0465149680523843	-0.0937007327522615	0.000670796647492908	glass	45
10	0.0871921999980319	0.0394587595632775	0.134925640432786	glass	50
11	0.0168543388245499	-0.031280459489881	0.0649891371389809	glass	55
12	-0.0564089958276152	-0.106072280354024	-0.00674571130120633	glass	60
13	0.0585901126150619	0.00605440865016871	0.111125816579955	glass	65
14	-0.0120434019371499	-0.0650330990157249	0.040946295141425	glass	70
15	-0.0595155534331214	-0.11876918162421	-0.000261925242032585	glass	75
16	-0.00570663495866239	-0.0696297937358404	0.0582165238185156	glass	80
17	-0.0858238937907149	-0.15448341895892	-0.0171643686225097	glass	85
18	-0.00684576954409133	-0.0790772154393321	0.0653856763511495	glass	90
19	0.156193304900985	0.0843951532183477	0.227991456583623	glass	95
20	-0.0774513659778901	-0.162006460972972	0.00710372901719201	glass	100
