i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.220581088713553	0.177865884914305	0.2632962925128	500pacol	10
3	0.274652337877854	0.229178101220421	0.320126574535287	500pacol	15
4	0.27705138456516	0.233248809414855	0.320853959715466	500pacol	20
5	0.324088687413749	0.280238068716528	0.36793930611097	500pacol	25
6	0.247709007788384	0.19931534879801	0.296102666778758	500pacol	30
7	0.205340248404767	0.155893783484797	0.254786713324737	500pacol	35
8	0.269330309249516	0.221603951044644	0.317056667454388	500pacol	40
9	0.201357552338238	0.148526256814222	0.254188847862254	500pacol	45
10	0.211165596360323	0.1583933790209	0.263937813699745	500pacol	50
11	0.282909412943994	0.228802665195106	0.337016160692881	500pacol	55
12	0.235114129197492	0.180014756368175	0.29021350202681	500pacol	60
13	0.172087455028779	0.107607884270426	0.236567025787132	500pacol	65
14	0.00872714739728227	-0.0580825581228734	0.075536852917438	500pacol	70
15	0.145959078403977	0.0759460079413583	0.215972148866595	500pacol	75
16	0.0445862249121426	-0.0335624665519809	0.122734916376266	500pacol	80
17	0.048136468541187	-0.0377887035205317	0.134061640602906	500pacol	85
18	0.0339980990337872	-0.0566292160137182	0.124625414081293	500pacol	90
19	0.151252718455556	0.0592966817703	0.243208755140813	500pacol	95
20	0.147588521874415	0.0445445749084982	0.250632468840333	500pacol	100
21	0.0131412389363642	-0.110472027116032	0.136754504988761	500pacol	105
22	-0.00247354958121914	-0.14167764955404	0.136730550391602	500pacol	110
23	0.00474816116579712	-0.179689726098186	0.18918604842978	500pacol	115
1	1	1	1	30kpacol	5
2	0.21943626191953	0.167057349578137	0.271815174260924	30kpacol	10
3	0.309865645161849	0.255298107640514	0.364433182683184	30kpacol	15
4	0.262590726861198	0.20502402340452	0.320157430317876	30kpacol	20
5	0.332967593189551	0.278901401541808	0.387033784837293	30kpacol	25
6	0.246843140511741	0.190935355611352	0.30275092541213	30kpacol	30
7	0.246573470902152	0.182022252612875	0.311124689191429	30kpacol	35
8	0.233448663409816	0.170581766706815	0.296315560112817	30kpacol	40
