i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.570133426974092	0.538108967016689	0.602157886931495	500pacol	10
3	0.211147840487493	0.168137688546447	0.25415799242854	500pacol	15
4	-0.0401484661595094	-0.0862134351598341	0.00591650284081521	500pacol	20
5	-0.239860950640066	-0.285004975414074	-0.194716925866058	500pacol	25
6	-0.195460029400736	-0.244321514939638	-0.146598543861834	500pacol	30
7	-0.240654655037064	-0.287998098997407	-0.193311211076722	500pacol	35
8	-0.125302707083215	-0.179019219197147	-0.0715861949692831	500pacol	40
9	-0.0442405459889016	-0.0994904922129276	0.0110094002351243	500pacol	45
10	-0.0833062877048671	-0.14038956774547	-0.0262230076642645	500pacol	50
11	-0.0853265600246352	-0.140702924212102	-0.0299501958371682	500pacol	55
12	0.0264136253308204	-0.0354028815037198	0.0882301321653605	500pacol	60
13	-0.02699651195192	-0.0891419211623787	0.0351488972585386	500pacol	65
14	0.0433269241416246	-0.0181435489607034	0.104797397243953	500pacol	70
15	0.0203505348355526	-0.0474375192677107	0.0881385889388158	500pacol	75
16	0.059524430470329	-0.0149664725735272	0.134015333514185	500pacol	80
17	0.111821928706745	0.0416996496286555	0.181944207784835	500pacol	85
18	0.0307612884246077	-0.045464168058973	0.106986744908188	500pacol	90
19	0.0984310764841026	0.0219478628685863	0.174914290099619	500pacol	95
20	0.134047121503701	0.0411705586699408	0.226923684337462	500pacol	100
21	0.0509407211749537	-0.0722885500063938	0.174169992356301	500pacol	105
22	-0.055317458486371	-0.198297357000691	0.0876624400279486	500pacol	110
23	-0.108310001525349	-0.256890566080949	0.0402705630302498	500pacol	115
24	-0.0156203095063915	-0.269648432696474	0.238407813683691	500pacol	120
1	1	1	1	500pafn	5
2	0.608122034289682	0.584094566092598	0.632149502486767	500pafn	10
3	0.395641261420795	0.364800082846252	0.426482439995337	500pafn	15
4	0.228159266920715	0.193556746549126	0.262761787292303	500pafn	20
5	0.173350793943296	0.136872132432992	0.2098294554536	500pafn	25
6	0.128464026578732	0.0896403839364769	0.167287669220986	500pafn	30
7	0.0989728343860187	0.0615232882859805	0.136422380486057	500pafn	35
8	0.0807332537814376	0.0418219988032624	0.119644508759613	500pafn	40
9	0.127170890550125	0.085492124837181	0.168849656263069	500pafn	45
10	0.155201134988838	0.113743591069701	0.196658678907975	500pafn	50
11	0.150096735587389	0.109059087205666	0.191134383969113	500pafn	55
12	0.0927327256022964	0.048355406399247	0.137110044805346	500pafn	60
13	0.100067326409401	0.0550500328667435	0.145084619952058	500pafn	65
14	0.0991202076615606	0.0520677286040557	0.146172686719066	500pafn	70
15	0.0603487837559898	0.00928043908644007	0.111417128425539	500pafn	75
