i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.209728462086771	0.181996440102154	0.237460484071389	500pacol	10
3	0.218245644068394	0.190451196283244	0.246040091853544	500pacol	15
4	0.193458468516577	0.163991083021263	0.222925854011891	500pacol	20
5	0.198799876682067	0.168386361709773	0.22921339165436	500pacol	25
6	0.191429886660852	0.160342365876457	0.222517407445246	500pacol	30
7	0.0981673752562433	0.0655337536152624	0.130800996897224	500pacol	35
8	0.0732347241972324	0.0398985286535617	0.106570919740903	500pacol	40
9	0.0465652825378337	0.0120020414977906	0.0811285235778768	500pacol	45
10	0.041118984075998	0.00603633505683305	0.076201633095163	500pacol	50
11	-0.0425584617601098	-0.0783188696089326	-0.00679805391128695	500pacol	55
12	-0.0512476262490091	-0.0889497925158479	-0.0135454599821702	500pacol	60
13	0.0329833175032498	-0.00734134619600314	0.0733079812025026	500pacol	65
14	-0.0233541957261831	-0.0649104321638782	0.0182020407115121	500pacol	70
15	-0.0402897444985202	-0.0832343422140305	0.00265485321699016	500pacol	75
16	0.0269565361954415	-0.018316578051631	0.072229650442514	500pacol	80
17	-0.0173379139196883	-0.0654404745547288	0.0307646467153522	500pacol	85
18	-0.101731079480934	-0.151935852007504	-0.0515263069543635	500pacol	90
19	-0.0119750434145558	-0.0651357285513131	0.0411856417222013	500pacol	95
20	-0.0216834158528579	-0.0771461032005264	0.0337792714948106	500pacol	100
21	0.0333399055653582	-0.0291396981745954	0.0958195093053119	500pacol	105
22	-0.0883699490058667	-0.162575993402863	-0.0141639046088708	500pacol	110
23	-0.17791746544812	-0.261619610340126	-0.0942153205561148	500pacol	115
24	-0.0760026064909886	-0.194312506662503	0.0423072936805259	500pacol	120
1	1	1	1	500pafn	5
2	0.0557562285169257	0.0273370684828207	0.0841753885510307	500pafn	10
3	0.259437012774421	0.232090660358767	0.286783365190075	500pafn	15
4	0.083148112008072	0.0535038353710849	0.112792388645059	500pafn	20
5	0.150662445419211	0.120427936821652	0.18089695401677	500pafn	25
6	0.157694920987703	0.127317111800712	0.188072730174694	500pafn	30
7	0.0129117155110264	-0.018785661394486	0.0446090924165388	500pafn	35
8	0.130201036578899	0.0972395543227462	0.163162518835051	500pafn	40
9	-0.00468480418746509	-0.038386414106636	0.0290168057317058	500pafn	45
10	0.104730848144285	0.0695475637338622	0.139914132554707	500pafn	50
11	-0.00198635568598271	-0.0380013969701734	0.034028685598208	500pafn	55
12	0.00447548480943718	-0.0326692112073203	0.0416201808261947	500pafn	60
13	-0.0336699814784905	-0.0703409957100166	0.00300103275303561	500pafn	65
14	-0.133993687547612	-0.173191317342086	-0.0947960577531376	500pafn	70
15	0.00504483421259314	-0.0365403239697251	0.0466299923949114	500pafn	75
16	-0.0799673386539091	-0.121556921733943	-0.0383777555738756	500pafn	80
17	-0.0736950684507425	-0.120133461602993	-0.0272566752984918	500pafn	85
18	-0.0651827257615439	-0.113819786503866	-0.016545665019222	500pafn	90
19	-0.0975026511708665	-0.148540642631968	-0.0464646597097653	500pafn	95
20	-0.0857842116872936	-0.142026681060304	-0.029541742314283	500pafn	100
21	-0.16843935307569	-0.228281905201699	-0.10859680094968	500pafn	105
22	-0.126414947186901	-0.19397180474303	-0.0588580896307715	500pafn	110
23	-0.166195150319294	-0.243351580405425	-0.0890387202331625	500pafn	115
24	0.0221432350206727	-0.0916163120123411	0.135902782053686	500pafn	120
1	1	1	1	30kpacol	5
2	0.230416163472585	0.199737218363566	0.261095108581604	30kpacol	10
3	0.304422839533501	0.273701434000453	0.335144245066549	30kpacol	15
4	0.269853799921492	0.238205880305255	0.301501719537729	30kpacol	20
5	0.162972355037309	0.129365502251086	0.196579207823531	30kpacol	25
6	0.0962275084696407	0.0601684583868135	0.132286558552468	30kpacol	30
7	0.12286104754399	0.0866452278585177	0.159076867229462	30kpacol	35
8	0.0364419506002539	-0.00180728207438555	0.0746911832748933	30kpacol	40
9	0.000444615675512209	-0.039971231030215	0.0408604623812394	30kpacol	45
10	-0.00475655680450224	-0.0453953413580135	0.035882227749009	30kpacol	50
11	0.0309180034893286	-0.0126852011499976	0.0745212081286548	30kpacol	55
12	-0.0146247992770823	-0.058815477403735	0.0295658788495705	30kpacol	60
13	0.0679030946288951	0.0221565323800729	0.113649656877717	30kpacol	65
14	0.0836922149859311	0.0376470646041057	0.129737365367757	30kpacol	70
15	0.0878837838085229	0.0388731598514969	0.136894407765549	30kpacol	75
16	0.0901322293655551	0.0374932378015249	0.142771220929585	30kpacol	80
17	0.0779194662097096	0.0239338517450902	0.131905080674329	30kpacol	85
18	0.0661331216892582	0.0110624690423487	0.121203774336168	30kpacol	90
19	0.0888332730787241	0.0263826028597428	0.151283943297705	30kpacol	95
20	0.0590642629159575	-0.0107988026962924	0.128927328528207	30kpacol	100
21	0.124265023069114	0.0467782415245983	0.201751804613631	30kpacol	105
22	0.204033950158494	0.121491392221185	0.286576508095803	30kpacol	110
23	0.269737755956501	0.168649982923253	0.370825528989749	30kpacol	115
24	0.55068737030973	0.438911141170825	0.662463599448635	30kpacol	120
1	1	1	1	30kpafn	5
2	0.427928170778071	0.400769149859498	0.455087191696644	30kpafn	10
3	0.33780742553264	0.310152215971888	0.365462635093392	30kpafn	15
4	0.27360504615114	0.244281270331542	0.302928821970737	30kpafn	20
5	0.236538058202025	0.205611640922086	0.267464475481965	30kpafn	25
6	0.144775558214153	0.112165209262114	0.177385907166193	30kpafn	30
7	0.132552602649359	0.0989134991900102	0.166191706108708	30kpafn	35
8	0.127498955739494	0.0931391636290664	0.161858747849922	30kpafn	40
9	0.0834703105648627	0.0461864489659652	0.12075417216376	30kpafn	45
10	0.0514857236726604	0.013468915185859	0.0895025321594617	30kpafn	50
11	0.0549278538560489	0.0170322810757253	0.0928234266363725	30kpafn	55
12	0.0440111966172019	0.00375768721258402	0.0842647060218198	30kpafn	60
13	0.0616532519850139	0.0197572126791282	0.1035492912909	30kpafn	65
14	0.0012581257596092	-0.042668402744506	0.0451846542637244	30kpafn	70
15	0.0203828785857081	-0.0273382601252909	0.068104017296707	30kpafn	75
16	0.0859640641174102	0.0360403819830854	0.135887746251735	30kpafn	80
17	0.0956055474185327	0.0426162786616409	0.148594816175425	30kpafn	85
18	0.0845903449241598	0.0268499923817691	0.14233069746655	30kpafn	90
19	0.206450818097014	0.144716145571511	0.268185490622516	30kpafn	95
20	0.208037751747249	0.137742323622036	0.278333179872462	30kpafn	100
21	0.0199113130455523	-0.0622242462949191	0.102046872386024	30kpafn	105
22	0.00861755118853482	-0.0778976671496635	0.0951327695267331	30kpafn	110
23	0.0843498858351811	-0.0266642012144486	0.195363972884811	30kpafn	115
24	-0.0800655342829092	-0.252987139700602	0.0928560711347837	30kpafn	120
1	1	1	1	hacol	5
2	0.0775301644885993	0.0340521134197283	0.12100821555747	hacol	10
3	0.0143465306940337	-0.0283984541643888	0.0570915155524561	hacol	15
4	0.0383336639292261	-0.00740571190926829	0.0840730397677205	hacol	20
5	0.0327524321259356	-0.0147056904555493	0.0802105547074206	hacol	25
6	0.0415500479094675	-0.0055228247704434	0.0886229205893785	hacol	30
7	0.0354610475529356	-0.0125180022126897	0.0834400973185608	hacol	35
8	-0.0107303316566905	-0.0616366056833268	0.0401759423699458	hacol	40
9	-0.00214230207057491	-0.056342276771274	0.0520576726301242	hacol	45
10	-0.0344826260423654	-0.0913095172416775	0.0223442651569467	hacol	50
11	-0.0469192752542061	-0.103124508143777	0.00928595763536481	hacol	55
12	-0.0636285949020005	-0.120963074588727	-0.00629411521527367	hacol	60
13	0.0336452828977315	-0.0268542230813562	0.0941447888768192	hacol	65
14	-0.046850346062268	-0.10787914201782	0.0141784498932844	hacol	70
15	-0.00691512608752359	-0.0737854519905946	0.0599551998155474	hacol	75
16	0.0615603356543269	-0.00943862116121007	0.132559292469864	hacol	80
17	0.150652938014366	0.0763827449575072	0.224923131071225	hacol	85
18	0.00399685389222604	-0.0743808863905964	0.0823745941750485	hacol	90
19	0.0299051790825896	-0.0534115190146696	0.113221877179849	hacol	95
20	-0.142668364951794	-0.234969833108797	-0.0503668967947904	hacol	100
21	-0.0460177993114851	-0.144479052247964	0.0524434536249935	hacol	105
22	-0.119732074388849	-0.232725634579027	-0.00673851419867132	hacol	110
23	0.189607208420499	0.0461140787982383	0.33310033804276	hacol	115
24	0.100188623135547	-0.0802904362056454	0.28066768247674	hacol	120
1	1	1	1	hafn	5
2	-0.039265873426497	-0.0772542749817833	-0.00127747187121061	hafn	10
3	0.0276763602479666	-0.0114346186119076	0.0667873391078409	hafn	15
4	0.0684163618564338	0.0286635950325392	0.108169128680328	hafn	20
5	0.0975057343173055	0.0567338430133821	0.138277625621229	hafn	25
6	0.0485385400474255	0.00517613042665355	0.0919009496681975	hafn	30
7	0.135010315968924	0.0907654337767611	0.179255198161087	hafn	35
8	0.0351773844937246	-0.00871119898325511	0.0790659679707043	hafn	40
9	0.00222455985414745	-0.044394692958741	0.0488438126670359	hafn	45
10	0.0500812939545675	0.00263804373113816	0.0975245441779967	hafn	50
11	-0.0344488100490026	-0.0880316182381917	0.0191339981401864	hafn	55
12	-0.024869209245228	-0.0775121754839574	0.0277737569935014	hafn	60
13	-0.0112035018109698	-0.062287726859348	0.0398807232374083	hafn	65
14	0.0829550430092354	0.027760272834012	0.138149813184459	hafn	70
15	-0.0311849684308477	-0.0930979729311998	0.0307280360695043	hafn	75
