i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.0668013304379503	0.0343670435692503	0.0992356173066502	500pacol	10
3	0.0578198733198182	0.0254642777574475	0.0901754688821888	500pacol	15
4	-0.043153620665006	-0.0762791357423441	-0.0100281055876678	500pacol	20
5	-0.04331999037302	-0.076560296425712	-0.010079684320328	500pacol	25
6	0.0125763462437855	-0.022060148541891	0.0472128410294621	500pacol	30
7	-0.0185153577893287	-0.0541460570070694	0.0171153414284119	500pacol	35
8	0.0153645730050401	-0.0219001576170742	0.0526293036271544	500pacol	40
9	-0.0130547053494725	-0.0508822104386663	0.0247727997397212	500pacol	45
10	-0.0150914098658591	-0.05407288209035	0.0238900623586318	500pacol	50
11	0.0273555559050445	-0.0124326474553036	0.0671437592653926	500pacol	55
12	0.014261567398933	-0.0276595151576099	0.056182649955476	500pacol	60
13	0.0476522071243472	0.00473706007162035	0.0905673541770741	500pacol	65
14	0.0635555959223817	0.0166739705577574	0.110437221287006	500pacol	70
15	-0.0162693182366456	-0.0649513165760245	0.0324126801027333	500pacol	75
16	-0.0498742166028947	-0.100579125481522	0.000830692275732459	500pacol	80
17	-0.179615565077063	-0.232119740107209	-0.127111390046916	500pacol	85
18	-0.0417062795032779	-0.0993001409792589	0.0158875819727031	500pacol	90
19	-0.00929187716687019	-0.068091648074844	0.0495078937411036	500pacol	95
20	0.0793390082749955	0.0118475449111548	0.146830471638836	500pacol	100
21	0.0204549032493173	-0.0558946039597736	0.0968044104584082	500pacol	105
22	-0.114693214100535	-0.192566997632395	-0.0368194305686747	500pacol	110
23	0.0342348164359965	-0.0732460172601207	0.141715650132114	500pacol	115
24	-0.259873324065939	-0.397516681980815	-0.122229966151063	500pacol	120
1	1	1	1	hacol	5
2	0.138023035372791	0.11177800759296	0.164268063152622	hacol	10
3	0.0225252153367277	-0.00377815651405536	0.0488285871875107	hacol	15
4	-0.0570080104250141	-0.0845897675176039	-0.0294262533324243	hacol	20
5	-0.0120871120068857	-0.0396282304778979	0.0154540064641265	hacol	25
6	0.00782857668393694	-0.0213631156105163	0.0370202689783902	hacol	30
7	-0.00143473613166086	-0.0311571351644338	0.0282876629011121	hacol	35
8	-0.016424892680023	-0.0469107902500046	0.0140610048899585	hacol	40
9	-0.0371448030140771	-0.0685308175436387	-0.00575878848451555	hacol	45
10	-0.0109898439609027	-0.0444094436782759	0.0224297557564705	hacol	50
11	-0.0600482652460332	-0.0935317896747752	-0.0265647408172913	hacol	55
12	0.0144831007369179	-0.0193560276672726	0.0483222291411084	hacol	60
13	0.0644826031638853	0.0287134810729384	0.100251725254832	hacol	65
14	0.0035361513690362	-0.0336158883248736	0.040688191062946	hacol	70
15	0.00812651300559495	-0.0323014105662372	0.0485544365774271	hacol	75
16	-0.0131825341043731	-0.0553815422051899	0.0290164739964438	hacol	80
17	-0.038953641034745	-0.0832536452920411	0.00534636322255111	hacol	85
18	0.0932586903011638	0.0487026254147533	0.137814755187574	hacol	90
19	0.0965617181913347	0.0468725878443087	0.146250848538361	hacol	95
20	0.0739656144220935	0.0162210836416713	0.131710145202516	hacol	100
21	0.0382218694179502	-0.0232806816792247	0.099724420515125	hacol	105
22	-0.152493149585727	-0.219306670708839	-0.0856796284626138	hacol	110
23	-0.051652480480908	-0.147287079220932	0.0439821182591162	hacol	115
24	0.0731631613404179	-0.0545720424149769	0.200898365095813	hacol	120
1	1	1	1	hafn	5
2	0.0493574970523917	0.017279897853309	0.0814350962514744	hafn	10
3	-0.0215216275832358	-0.0539566485935853	0.0109133934271138	hafn	15
4	0.00533437691105893	-0.0283918880479845	0.0390606418701023	hafn	20
5	0.0011692545444324	-0.0330922237123486	0.0354307328012134	hafn	25
6	0.0269603930621393	-0.00919637267350008	0.0631171587977786	hafn	30
7	0.022802017930412	-0.0134604687954394	0.0590645046562634	hafn	35
8	0.0701032321185179	0.0325617519980063	0.10764471223903	hafn	40
9	-0.00904599560291704	-0.0492235688572215	0.0311315776513874	hafn	45
10	-0.0843875678448547	-0.125737514135955	-0.0430376215537548	hafn	50
11	0.0424478408989337	0.000226387302630866	0.0846692944952366	hafn	55
12	0.120952349767791	0.0784542393281469	0.163450460207435	hafn	60
13	0.0468529416836646	0.00188244769549648	0.0918234356718328	hafn	65
14	0.0231399620390045	-0.0223535561908226	0.0686334802688317	hafn	70
15	0.0325028150070605	-0.0161059139674862	0.0811115439816072	hafn	75
16	0.0426250021357221	-0.0117894355004644	0.0970394397719086	hafn	80
17	0.0409035824112494	-0.01768795914626	0.0994951239687588	hafn	85
18	0.0654312933248559	0.00376344596948122	0.127099140680231	hafn	90
19	-0.0150490792874592	-0.0801080060205694	0.0500098474456509	hafn	95
20	0.0277377084808628	-0.0416180427200705	0.0970934596817962	hafn	100
21	0.032431796197097	-0.0444116701077025	0.109275262501896	hafn	105
22	-0.0810844610198777	-0.173329941185793	0.0111610191460374	hafn	110
23	0.102375778966803	-0.00742316711912472	0.212174725052731	hafn	115
24	0.0248019361226175	-0.110493191672114	0.160097063917349	hafn	120
1	1	1	1	glass	5
2	-0.011032739747869	-0.0373697737121503	0.0153042942164123	glass	10
3	-0.0402636192236599	-0.0674129058430933	-0.0131143326042266	glass	15
4	-0.0192665367348931	-0.0468208864690988	0.0082878129993127	glass	20
5	-0.0258240415380263	-0.0534184152756345	0.00177033219958199	glass	25
6	0.0124270278441075	-0.0159706874575668	0.0408247431457818	glass	30
7	-0.011201355359589	-0.0403584902810379	0.0179557795618599	glass	35
8	0.00795920283494757	-0.0225300382504696	0.0384484439203647	glass	40
9	-0.00568645002558169	-0.0374453675007445	0.0260724674495811	glass	45
10	-0.0204897172501193	-0.0529695853992221	0.0119901508989835	glass	50
11	0.0560323681186134	0.0234186660427841	0.0886460701944427	glass	55
12	0.00439801783575041	-0.0295034623308253	0.0382994980023261	glass	60
13	0.00934110319544579	-0.026233048668121	0.0449152550590126	glass	65
14	-0.047683034166233	-0.085605882792449	-0.00976018554001691	glass	70
15	-0.0125269325277646	-0.053104033920249	0.0280501688647198	glass	75
16	0.015424259821337	-0.0262823829404932	0.0571309025831671	glass	80
17	0.00953968346288875	-0.0349436407990311	0.0540230077248087	glass	85
18	0.00259090232607636	-0.0435214596186107	0.0487032642707634	glass	90
19	0.0101368882199883	-0.0396673721686446	0.0599411486086211	glass	95
20	0.00626435578621241	-0.0475566250326867	0.0600853366051115	glass	100
21	0.0664332867012052	0.0055281426999948	0.127338430702416	glass	105
22	0.0779761005559065	0.00935439839303036	0.146597802718783	glass	110
23	0.0252916581868775	-0.0653428874235177	0.115926203797273	glass	115
24	0.130777005957236	-0.00824393559687372	0.269797947511346	glass	120
