i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.0397945519527292	0.00767738874614781	0.0719117151593106	500pacol	10
3	-0.0689964905496937	-0.101835697286954	-0.036157283812433	500pacol	15
4	-0.0822242870636821	-0.115650466177441	-0.0487981079499231	500pacol	20
5	0.0245449040501944	-0.00950557016438802	0.0585953782647768	500pacol	25
6	-0.0226815055467463	-0.0585781393814217	0.0132151282879291	500pacol	30
7	0.0237369958430756	-0.0125321650215584	0.0600061567077097	500pacol	35
8	0.0306905489172584	-0.00711821343444994	0.0684993112689668	500pacol	40
9	0.0364301699216574	-0.00288849981749163	0.0757488396608063	500pacol	45
10	-0.0425315282432057	-0.0824406480869494	-0.00262240839946202	500pacol	50
11	-0.00232380144522002	-0.0433942200794949	0.0387466171890549	500pacol	55
12	-0.00689483928323569	-0.049740039717059	0.0359503611505877	500pacol	60
13	0.0640255659387541	0.0199425615581851	0.108108570319323	500pacol	65
14	-0.0263724201981372	-0.0728815442477976	0.0201367038515232	500pacol	70
15	-0.0156751248663686	-0.0641968164927373	0.03284656676	500pacol	75
16	0.0811019414287457	0.0273567542930181	0.134847128564473	500pacol	80
17	0.0972143230418123	0.0454513785745675	0.148977267509057	500pacol	85
18	-0.0484372631151084	-0.105586367795507	0.00871184156529061	500pacol	90
19	-0.00815750850202137	-0.0716957644133083	0.0553807474092655	500pacol	95
20	0.180095623892795	0.118141520740984	0.242049727044605	500pacol	100
21	-0.000622132927360996	-0.0778918798176911	0.0766476139629692	500pacol	105
22	0.0560241689543196	-0.0316299150069455	0.143678252915585	500pacol	110
23	-0.239180863959604	-0.349646633966203	-0.128715093953005	500pacol	115
24	0.108693008751882	-0.0253689975025526	0.242755015006316	500pacol	120
1	1	1	1	500pafn	5
2	0.0700733518231056	0.0361474905797098	0.103999213066501	500pafn	10
3	-0.0517408526445539	-0.0846893916040667	-0.0187923136850411	500pafn	15
4	-0.0771187394234902	-0.111484843286781	-0.0427526355601991	500pafn	20
5	-0.0082594932421784	-0.0434975639716876	0.0269785774873308	500pafn	25
6	0.0461136001751651	0.00986200100473082	0.0823651993455993	500pafn	30
7	0.0527258863319064	0.0161657760935527	0.0892859965702602	500pafn	35
8	0.0454165129260578	0.00673047611859023	0.0841025497335254	500pafn	40
9	0.0297395050586263	-0.00952096706571131	0.0689999771829638	500pafn	45
10	0.0442148285584707	0.00472350065224404	0.0837061564646974	500pafn	50
11	0.0626979569343687	0.0227985211210994	0.102597392747638	500pafn	55
12	0.0562677181024022	0.0117912571171281	0.100744179087676	500pafn	60
13	0.0420962963356199	-0.00476530443714619	0.088957897108386	500pafn	65
14	-0.0760054455173976	-0.122852860059315	-0.0291580309754798	500pafn	70
15	0.013917824089271	-0.0354501362600626	0.0632857844386045	500pafn	75
16	-0.017157401694585	-0.0692555659820861	0.0349407625929162	500pafn	80
17	-0.0367868900189857	-0.090498944498847	0.0169251644608756	500pafn	85
18	0.0137718629011166	-0.044172698994467	0.0717164247967002	500pafn	90
19	-0.108963359571151	-0.172973151610972	-0.044953567531331	500pafn	95
20	-0.0572093288982419	-0.12819144235434	0.0137727845578557	500pafn	100
21	-0.0545920155648379	-0.134060480835016	0.02487644970534	500pafn	105
22	-0.0907146636934392	-0.179744226166688	-0.00168510122019021	500pafn	110
23	-0.271557594725422	-0.375374250826827	-0.167740938624017	500pafn	115
24	0.207431454590978	0.0656671493814796	0.349195759800477	500pafn	120
1	1	1	1	30kpacol	5
2	0.179046113979518	0.145378625415014	0.212713602544021	30kpacol	10
3	0.0928662771808241	0.0568685322572409	0.128864022104407	30kpacol	15
4	0.00789455961826091	-0.0286273327918616	0.0444164520283834	30kpacol	20
5	0.0385516004638123	0.00135310226379417	0.0757500986638305	30kpacol	25
6	0.0319925751232327	-0.00578603131590193	0.0697711815623673	30kpacol	30
7	0.0598070042353557	0.0220419488366395	0.0975720596340719	30kpacol	35
8	-0.0454905824821572	-0.0845624443774742	-0.0064187205868402	30kpacol	40
9	0.0410755501236918	-0.000271201753683913	0.0824223020010676	30kpacol	45
10	0.0225118359458784	-0.0198255206537982	0.064849192545555	30kpacol	50
11	-0.00884320298346836	-0.0524129801508443	0.0347265741839076	30kpacol	55
12	-0.0517721821602055	-0.0960016979543273	-0.00754266636608372	30kpacol	60
13	0.0524471559890504	0.0059858995292505	0.0989084124488502	30kpacol	65
14	0.163483504773086	0.114143908130177	0.212823101415994	30kpacol	70
15	0.0859402605152887	0.0345052908837131	0.137375230146864	30kpacol	75
16	0.037775375373169	-0.0191150430161225	0.0946657937624604	30kpacol	80
17	0.00600045697711411	-0.0506090771160246	0.0626099910702528	30kpacol	85
18	0.104278979458384	0.0409047838595056	0.167653175057262	30kpacol	90
19	-0.0413340647332197	-0.107257745033152	0.0245896155667127	30kpacol	95
20	0.0117645912997998	-0.0660429105022578	0.0895720931018574	30kpacol	100
21	-0.0703454986070864	-0.164072192753783	0.0233811955396099	30kpacol	105
22	0.16465533535429	0.0751426425573481	0.254168028151233	30kpacol	110
23	-0.12325668743849	-0.244860196954972	-0.00165317792200717	30kpacol	115
24	-0.270911375775087	-0.449309410468247	-0.0925133410819267	30kpacol	120
1	1	1	1	30kpafn	5
2	0.199842282210639	0.163357660148972	0.236326904272306	30kpafn	10
3	0.0012776055276884	-0.0361180266023828	0.0386732376577596	30kpafn	15
4	-0.0385297380780174	-0.0779094081256504	0.000849931969615567	30kpafn	20
5	0.0493442812968507	0.0111007813919835	0.0875877812017178	30kpafn	25
6	0.0550659584955052	0.0153535213793359	0.0947783956116745	30kpafn	30
7	-0.0638175659656434	-0.103298611807177	-0.0243365201241099	30kpafn	35
8	-0.0617684261401025	-0.105535091534162	-0.018001760746043	30kpafn	40
9	0.0279556185053531	-0.0153721433993437	0.0712833804100498	30kpafn	45
10	0.035241737011492	-0.00893519569032155	0.0794186697133055	30kpafn	50
11	-0.0303249228055485	-0.076016277079923	0.0153664314688259	30kpafn	55
12	0.0317527584297034	-0.0161055039060137	0.0796110207654205	30kpafn	60
13	0.095309700129482	0.044048579023591	0.146570821235373	30kpafn	65
14	0.0421313893581469	-0.0116397706825134	0.0959025493988072	30kpafn	70
15	0.0666255787168136	0.0102817114068549	0.122969446026772	30kpafn	75
16	0.0169886818096163	-0.0415124607142414	0.075489824333474	30kpafn	80
17	-0.0125884280268041	-0.0726611790540857	0.0474843230004775	30kpafn	85
18	-0.0216479712868428	-0.0841985463377176	0.0409026037640319	30kpafn	90
19	-0.0511639733037316	-0.11869862309862	0.0163706764911565	30kpafn	95
20	-0.0362537497803739	-0.116522228765312	0.044014729204564	30kpafn	100
21	0.0814520347914876	-0.00952048765725293	0.172424557240228	30kpafn	105
22	0.0698049560796475	-0.031151107621487	0.170761019780782	30kpafn	110
23	0.00533686436936856	-0.112575071453834	0.123248800192572	30kpafn	115
24	-0.28215267728748	-0.438250365183352	-0.126054989391609	30kpafn	120
1	1	1	1	hafn	5
2	0.197811472633427	0.164715306296172	0.230907638970682	hafn	10
3	0.0654071991985029	0.0317934603317404	0.0990209380652653	hafn	15
4	0.0624886907437797	0.0289421656019203	0.0960352158856392	hafn	20
5	0.0250088135245582	-0.01022246891407	0.0602400959631864	hafn	25
6	0.038361863319973	0.00231844622518439	0.0744052804147617	hafn	30
7	-0.011042488497898	-0.048894550823813	0.0268095738280171	hafn	35
8	-0.0208446687529063	-0.0593584267906692	0.0176690892848566	hafn	40
9	-0.025272845700014	-0.064289471747913	0.0137437803478849	hafn	45
10	0.00173045489295397	-0.038898706419056	0.042359616204964	hafn	50
11	0.0185410178427901	-0.0252118084741795	0.0622938441597597	hafn	55
12	-0.0158486345281432	-0.0605874386151473	0.028890169558861	hafn	60
13	-0.0488350240136127	-0.0925810574618179	-0.00508899056540746	hafn	65
14	0.00707447931179666	-0.0391852729839706	0.053334231607564	hafn	70
15	-0.0182032956957527	-0.0705841725885226	0.0341775811970172	hafn	75
16	0.10443196804923	0.0526413599968839	0.156222576101576	hafn	80
17	0.0816324912795516	0.0276883573932926	0.135576625165811	hafn	85
18	0.108412996869721	0.0515222454661585	0.165303748273284	hafn	90
19	0.0223160717146005	-0.0371261586365962	0.0817583020657972	hafn	95
20	0.0875061274285721	0.0210932321477211	0.153919022709423	hafn	100
21	0.0259488012043269	-0.0552098153230736	0.107107417731727	hafn	105
22	-0.0225985789947333	-0.123863009629384	0.0786658516399171	hafn	110
23	-0.155304778339493	-0.265474430986147	-0.0451351256928387	hafn	115
24	-0.00954962685012441	-0.167092199581497	0.147992945881248	hafn	120
1	1	1	1	glass	5
2	0.0089377102943134	-0.0245427950608062	0.042418215649433	glass	10
3	-0.0772199123989002	-0.111727701964965	-0.0427121228328356	glass	15
4	0.00765672691942011	-0.027506298259327	0.0428197520981672	glass	20
5	-0.0433519747313512	-0.0795680038543474	-0.00713594560835488	glass	25
6	0.0016432779330455	-0.0351822745439759	0.0384688304100669	glass	30
7	-0.00597321814512524	-0.0438614808569319	0.0319150445666814	glass	35
8	1.24521177864749e-05	-0.0408621327699065	0.0408870370054794	glass	40
9	-0.00500871448197285	-0.0456606391929701	0.0356432102290244	glass	45
10	0.0544998171151716	0.0131497336048311	0.0958499006255121	glass	50
11	-0.0254180601441933	-0.0696198392255577	0.0187837189371712	glass	55
12	-0.0177351707144498	-0.0629741888898847	0.0275038474609851	glass	60
13	0.0529818367288462	0.00734129187422115	0.0986223815834712	glass	65
14	0.00402821646665926	-0.0436352734218633	0.0516917063551819	glass	70
15	0.0930016625191704	0.0413614022691488	0.144641922769192	glass	75
16	-0.0175979349093992	-0.0725155730579858	0.0373197032391873	glass	80
17	0.0555712330733724	-0.0023485897497747	0.11349105589652	glass	85
18	-0.0239253507910816	-0.0885198860838007	0.0406691845016375	glass	90
19	0.0318438944793518	-0.0344443925654415	0.098132181524145	glass	95
20	-0.0221011167673658	-0.0943362686839397	0.0501340351492082	glass	100
21	0.0228246421061248	-0.0592300397065822	0.104879323918832	glass	105
22	0.187212150733571	0.0953877532297711	0.27903654823737	glass	110
23	0.190306978698392	0.060866184161942	0.319747773234842	glass	115
24	-0.0781676120955478	-0.252543011540701	0.096207787349605	glass	120
