i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.159344248210917	0.145391181247874	0.17329731517396	500pacol	10
3	0.245237031399977	0.231220084737679	0.259253978062275	500pacol	15
4	0.212939490754138	0.198046935322394	0.227832046185882	500pacol	20
5	0.180933891280033	0.165014556799607	0.19685322576046	500pacol	25
6	0.158670348313522	0.141583678023582	0.175757018603462	500pacol	30
7	0.0949771690724356	0.0762275642898311	0.11372677385504	500pacol	35
8	0.141234314643986	0.121188801493024	0.161279827794948	500pacol	40
9	0.139658453966519	0.117485584718975	0.161831323214063	500pacol	45
10	0.111569477074024	0.0858448402605621	0.137294113887486	500pacol	50
11	0.112775279018821	0.0812275057730887	0.144323052264553	500pacol	55
12	0.0903271560252581	0.048762194505037	0.131892117545479	500pacol	60
1	1	1	1	500pafn	5
2	-0.216696731210631	-0.245859691618504	-0.187533770802757	500pafn	10
3	0.0418238827771838	0.0102424509503825	0.073405314603985	500pafn	15
4	0.0785900273232832	0.046505146010848	0.110674908635718	500pafn	20
5	-0.000759315325228521	-0.0348034034345408	0.0332847727840837	500pafn	25
6	0.0782903473197473	0.0418341015535427	0.114746593085952	500pafn	30
7	0.0331263166430361	-0.00867922629464742	0.0749318595807195	500pafn	35
8	-0.0391347330137349	-0.0840950962651196	0.00582563023764975	500pafn	40
9	0.0286894680778117	-0.0183549743376348	0.0757339104932583	500pafn	45
10	0.0566368576134938	-0.00211714986903874	0.115390865096026	500pafn	50
11	-0.0318327106119426	-0.103690200588593	0.0400247793647076	500pafn	55
12	0.0206112251975577	-0.0815504192301169	0.122772869625232	500pafn	60
1	1	1	1	30kpacol	5
2	0.153434155752426	0.134320215088626	0.172548096416227	30kpacol	10
3	0.217120673572095	0.19747966270709	0.236761684437101	30kpacol	15
4	0.282073734854372	0.261937049048695	0.30221042066005	30kpacol	20
5	0.196653749551518	0.174606350447052	0.218701148655984	30kpacol	25
6	0.206500632418622	0.183211341187767	0.229789923649478	30kpacol	30
7	0.131619272525609	0.105406462691093	0.157832082360126	30kpacol	35
8	0.169791517595981	0.140807285798864	0.198775749393099	30kpacol	40
9	0.110272181574486	0.0764394284153051	0.144104934733666	30kpacol	45
10	0.130017469757578	0.0899376892296875	0.170097250285468	30kpacol	50
11	0.167993161398572	0.111633150203646	0.224353172593498	30kpacol	55
1	1	1	1	30kpafn	5
2	0.0342548272524598	0.00321154441357518	0.0652981100913444	30kpafn	10
3	0.0832059838771252	0.0518467040072077	0.114565263747043	30kpafn	15
4	0.111042957367519	0.0774450032459832	0.144640911489055	30kpafn	20
5	0.0631225092720672	0.026721109437787	0.0995239091063474	30kpafn	25
6	0.0157158247347082	-0.0234705085161312	0.0549021579855475	30kpafn	30
7	0.0344182601574706	-0.0106945446225654	0.0795310649375066	30kpafn	35
8	0.0044921726032566	-0.044991466602402	0.0539758118089152	30kpafn	40
9	-0.0639600563787497	-0.120015471925631	-0.00790464083186807	30kpafn	45
10	-0.0253977779897629	-0.0893294803052277	0.038533924325702	30kpafn	50
11	-0.0575996047676723	-0.149831838834959	0.0346326292996144	30kpafn	55
1	1	1	1	hacol	5
2	0.0578999589726132	0.0165803028391943	0.099219615106032	hacol	10
3	0.192578000053198	0.149072680313949	0.236083319792447	hacol	15
4	0.148745032630275	0.1031640804393	0.19432598482125	hacol	20
5	0.124255261514404	0.07631143085154	0.172199092177268	hacol	25
6	0.0620492193668522	0.00766330317533718	0.116435135558367	hacol	30
7	0.10090540945349	0.0421218899213202	0.159688928985659	hacol	35
8	0.174682070958153	0.109850997632584	0.239513144283722	hacol	40
9	0.0770025300636826	0.00155996671728031	0.152445093410085	hacol	45
10	0.210128652166679	0.119827089499206	0.300430214834153	hacol	50
11	0.0616727094234496	-0.0706515154897652	0.193996934336664	hacol	55
1	1	1	1	hafn	5
2	0.0463304851172201	0.0173387839404649	0.0753221862939753	hafn	10
3	0.125887774399818	0.0965008445866314	0.155274704213006	hafn	15
4	0.111838564877262	0.0808717747196314	0.142805355034893	hafn	20
5	0.0948437673080419	0.0612795967204305	0.128407937895653	hafn	25
6	0.0727666957002474	0.0361885095764945	0.109344881824	hafn	30
7	0.138988245707584	0.0991106292118103	0.178865862203357	hafn	35
8	0.0499256237280511	0.00393754871041564	0.0959136987456865	hafn	40
9	-0.0111844220724098	-0.0601210735732294	0.0377522294284098	hafn	45
10	0.0242825810048201	-0.0382703161471433	0.0868354781567834	hafn	50
11	0.0307080479310973	-0.0632978384275805	0.124713934289775	hafn	55
1	1	1	1	glass	5
2	0.0190723699396676	0.000158367207296478	0.0379863726720386	glass	10
3	0.147959060004483	0.128520803566521	0.167397316442445	glass	15
4	0.117928379882035	0.0974482377278767	0.138408522036194	glass	20
5	0.047130031970861	0.0251085559002569	0.0691515080414651	glass	25
6	0.0697444085482156	0.045887755214374	0.0936010618820572	glass	30
7	0.0376921655574791	0.0113263770881403	0.0640579540268179	glass	35
8	0.108485625749442	0.0798534005624504	0.137117850936433	glass	40
9	0.0688287440862203	0.035608340793921	0.10204914737852	glass	45
10	0.0733534957121854	0.0321510797463482	0.114555911678023	glass	50
11	0.0870477560229556	0.0293665476379452	0.144728964407966	glass	55
