i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.25870461909531	0.212140464694901	0.305268773495718	500pacol	10
3	-0.0363925918644055	-0.0865473021652528	0.0137621184364417	500pacol	15
4	-0.0126910786265062	-0.06381192724044	0.0384297699874276	500pacol	20
5	-0.176962936269331	-0.231877257773232	-0.12204861476543	500pacol	25
6	-0.154653773996467	-0.206665147300537	-0.102642400692397	500pacol	30
7	-0.088095408091906	-0.142375963852739	-0.0338148523310729	500pacol	35
8	-0.0630255072397414	-0.123921951070391	-0.00212906340909224	500pacol	40
9	-0.103060543975027	-0.164698651064186	-0.0414224368858672	500pacol	45
10	-0.123125469163661	-0.182534934812189	-0.0637160035151325	500pacol	50
11	-0.0441190068417964	-0.109193483268388	0.0209554695847956	500pacol	55
12	0.0312390134740865	-0.0324352446615996	0.0949132716097727	500pacol	60
13	0.0221706742248329	-0.0475447315242822	0.0918860799739479	500pacol	65
14	0.0732091872700661	-0.00367178401691474	0.150090158557047	500pacol	70
15	0.103869470680422	0.0210307918990654	0.186708149461779	500pacol	75
16	0.131993456745345	0.0458714283396264	0.218115485151064	500pacol	80
17	-0.0112399005906182	-0.102412875306068	0.0799330741248313	500pacol	85
18	0.0784702498416204	-0.0275854894676038	0.184525989150845	500pacol	90
19	-0.00273861062104995	-0.0939226203027083	0.0884453990606084	500pacol	95
20	-0.0213555024268259	-0.13332602783785	0.0906150229841978	500pacol	100
21	0.172924088902694	0.054377023981368	0.29147115382402	500pacol	105
22	-0.106035937825827	-0.242689022285866	0.0306171466342123	500pacol	110
23	0.208471455291648	0.0647270316871135	0.352215878896183	500pacol	115
24	0.0303913905180267	-0.240512317332329	0.301295098368383	500pacol	120
1	1	1	1	500pafn	5
2	0.23673380287025	0.197374951980778	0.276092653759721	500pafn	10
3	0.0538456918786439	0.0121529426318733	0.0955384411254145	500pafn	15
4	-0.0205897314277191	-0.0638560843338782	0.02267662147844	500pafn	20
5	-0.0390152298693396	-0.0825671124789287	0.00453665274024941	500pafn	25
6	-0.00406214130716722	-0.0472666608543874	0.0391423782400529	500pafn	30
7	0.0904404738564909	0.0449903043395997	0.135890643373382	500pafn	35
8	0.0449990292913247	-0.00144704109497922	0.0914450996776285	500pafn	40
9	7.46848401737396e-05	-0.0463463677676201	0.0464957374479676	500pafn	45
10	0.0699119258666848	0.0210152634481536	0.118808588285216	500pafn	50
11	0.029560712278285	-0.0208222011128005	0.0799436256693706	500pafn	55
12	0.0732249324038519	0.0191689890613758	0.127280875746328	500pafn	60
13	0.0348959760214122	-0.023535438373278	0.0933273904161024	500pafn	65
14	0.0779478613135083	0.0188465621038441	0.137049160523172	500pafn	70
15	0.114195205013617	0.05395948389915	0.174430926128083	500pafn	75
16	0.0451221067215772	-0.0252145944009716	0.115458807844126	500pafn	80
17	-0.00972120594114624	-0.0797858192744809	0.0603434073921884	500pafn	85
18	-0.0628508044474881	-0.14115064015684	0.0154490312618641	500pafn	90
19	-0.0638959457415074	-0.151554956776233	0.0237630652932186	500pafn	95
20	0.0228367229190671	-0.0814889419578743	0.127162387796008	500pafn	100
21	0.140573646365912	0.0358025083065448	0.24534478442528	500pafn	105
22	0.0845299056483479	-0.0338043797197	0.202864191016396	500pafn	110
23	0.194238703600572	0.0583837193825645	0.33009368781858	500pafn	115
24	-0.499551240354042	-0.705505557846304	-0.29359692286178	500pafn	120
1	1	1	1	30kpacol	5
2	0.26843162403596	0.20981112624652	0.327052121825401	30kpacol	10
3	-0.167969820931783	-0.227445555936563	-0.108494085927004	30kpacol	15
4	-0.109285695926976	-0.172955697062746	-0.0456156947912055	30kpacol	20
5	-0.112147870311058	-0.174102728324445	-0.0501930122976715	30kpacol	25
6	-0.0450134705328944	-0.113704702510572	0.023677761444783	30kpacol	30
7	0.0150535975010719	-0.0557873392026531	0.0858945342047969	30kpacol	35
8	-0.03128062482063	-0.102618484504035	0.0400572348627749	30kpacol	40
9	0.0883196112111725	0.0184821865165748	0.15815703590577	30kpacol	45
10	-0.00552958879368296	-0.0826310705797506	0.0715718929923846	30kpacol	50
11	-0.109928650728934	-0.187096292352678	-0.0327610091051896	30kpacol	55
12	0.0710343348514015	-0.0153459791721717	0.157414648874975	30kpacol	60
13	0.121816043943753	0.0325410542524585	0.211091033635048	30kpacol	65
14	-0.0338710277165911	-0.130078384172698	0.0623363287395159	30kpacol	70
15	-0.146654618836621	-0.244569268410615	-0.048739969262627	30kpacol	75
16	-0.160772145188129	-0.267097046241887	-0.0544472441343701	30kpacol	80
17	0.0637206401227633	-0.0480226589874816	0.175463939233008	30kpacol	85
18	0.0938272436637864	-0.030671849089611	0.218326336417184	30kpacol	90
19	0.207275661559704	0.0380379221155958	0.376513401003813	30kpacol	95
20	0.000798394530951768	-0.171194660592682	0.172791449654585	30kpacol	100
21	0.100506619000008	-0.0826198304800532	0.283633068480068	30kpacol	105
22	0.183601413739002	-0.0415628524394288	0.408765679917432	30kpacol	110
23	-0.325191746523308	-0.57354354998914	-0.0768399430574754	30kpacol	115
24	0.897826724175785	0.836994321923024	0.958659126428547	30kpacol	120
1	1	1	1	30kpafn	5
2	0.327549498243921	0.273291788141487	0.381807208346355	30kpafn	10
3	0.13580251131471	0.0782598857998821	0.193345136829539	30kpafn	15
4	0.0980687366673655	0.0338788570737439	0.162258616260987	30kpafn	20
5	0.144154709544755	0.0831104766870303	0.205198942402479	30kpafn	25
6	0.0585429686099471	-0.004871213043791	0.121957150263685	30kpafn	30
7	0.169775894159432	0.104118923550131	0.235432864768732	30kpafn	35
8	0.117968525429221	0.0508052639854733	0.18513178687297	30kpafn	40
9	0.105637362712188	0.0362131072959363	0.17506161812844	30kpafn	45
10	0.13045759491288	0.0599828035318061	0.200932386293953	30kpafn	50
11	0.129379894274275	0.056654577805824	0.202105210742725	30kpafn	55
12	0.035303238854567	-0.0467112745459419	0.117317752255076	30kpafn	60
13	0.0980248364235443	0.015865442817313	0.180184230029776	30kpafn	65
14	0.151831376132217	0.0633180273529029	0.240344724911532	30kpafn	70
