i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.663548002880685	0.649090997231408	0.678005008529963	500pacol	10
3	0.53034564488369	0.513468535940976	0.547222753826404	500pacol	15
4	0.459803967060282	0.44184049440928	0.477767439711284	500pacol	20
5	0.400891376226409	0.381678953048995	0.420103799403823	500pacol	25
6	0.39412464222351	0.374409660297429	0.41383962414959	500pacol	30
7	0.363302733789709	0.342777922761758	0.383827544817659	500pacol	35
8	0.375132167733807	0.353991848697628	0.396272486769987	500pacol	40
9	0.347468751596552	0.325217494849097	0.369720008344008	500pacol	45
10	0.311262198722075	0.288002729473899	0.33452166797025	500pacol	50
11	0.29317536261983	0.269105672462283	0.317245052777377	500pacol	55
12	0.273595105681323	0.248517240919727	0.298672970442919	500pacol	60
13	0.269480237780098	0.24326314810263	0.295697327457566	500pacol	65
14	0.250572425575955	0.223185228459565	0.277959622692345	500pacol	70
15	0.270191328349948	0.241122088186105	0.299260568513792	500pacol	75
16	0.243179333552206	0.21233703551017	0.274021631594243	500pacol	80
17	0.227705428415881	0.194362001467251	0.261048855364511	500pacol	85
18	0.202043828540836	0.165938548236035	0.238149108845637	500pacol	90
19	0.192010332361859	0.15142947606501	0.232591188658709	500pacol	95
20	0.211529238312621	0.168248712768805	0.254809763856436	500pacol	100
21	0.208582108935799	0.159946826245446	0.257217391626152	500pacol	105
22	0.249827723183665	0.195026361051099	0.304629085316232	500pacol	110
23	0.249032506675508	0.184729183604736	0.31333582974628	500pacol	115
24	0.281180753318814	0.196169210999702	0.366192295637926	500pacol	120
1	1	1	1	500pafn	5
2	0.589663972835726	0.575373938722242	0.603954006949211	500pafn	10
3	0.395160296259997	0.378073223083548	0.412247369436446	500pafn	15
4	0.285722036588192	0.267332547909328	0.304111525267055	500pafn	20
5	0.262965732273469	0.244385572099925	0.281545892447013	500pafn	25
6	0.245776694150583	0.226652569445347	0.26490081885582	500pafn	30
7	0.242805966832406	0.222966656686145	0.262645276978667	500pafn	35
8	0.219697609094674	0.198890673078999	0.240504545110348	500pafn	40
9	0.207327959644817	0.185973102799465	0.228682816490168	500pafn	45
10	0.198255683008783	0.176279121111134	0.220232244906433	500pafn	50
11	0.174203565801699	0.151076435648413	0.197330695954986	500pafn	55
12	0.179624120537119	0.156144954043067	0.203103287031171	500pafn	60
13	0.164153126327778	0.139542942765585	0.188763309889971	500pafn	65
14	0.119525646292532	0.0935125670845234	0.14553872550054	500pafn	70
15	0.119576271673881	0.0922587438770722	0.14689379947069	500pafn	75
16	0.147537662136527	0.119127851426044	0.17594747284701	500pafn	80
17	0.122851113376414	0.0923995434726773	0.15330268328015	500pafn	85
18	0.114770089854296	0.0815176450715987	0.148022534636993	500pafn	90
19	0.0781245990421233	0.0421205640983413	0.114128633985905	500pafn	95
20	0.0770250959610075	0.0379022432014801	0.116147948720535	500pafn	100
21	0.060184563670536	0.0161187284111347	0.104250398929937	500pafn	105
22	0.0652251533460134	0.0150520163882284	0.115398290303798	500pafn	110
23	0.107723489033394	0.0448639645885788	0.17058301347821	500pafn	115
24	0.211238215551075	0.122901550131532	0.299574880970619	500pafn	120
1	1	1	1	30kpacol	5
2	0.390600918182545	0.3704274151027	0.41077442126239	30kpacol	10
3	0.284845769464389	0.26319517230991	0.306496366618868	30kpacol	15
4	0.219209485481506	0.195979600882358	0.242439370080653	30kpacol	20
5	0.204379302992552	0.180987360233556	0.227771245751549	30kpacol	25
6	0.149053466079308	0.124321591777391	0.173785340381225	30kpacol	30
7	0.120768813150277	0.0953085827417834	0.146229043558771	30kpacol	35
