i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.27053670978269	0.220896019599594	0.320177399965786	500pacol	10
3	-0.0947874817656336	-0.152663696442235	-0.0369112670890325	500pacol	15
4	-0.117748666713161	-0.180666398481614	-0.0548309349447073	500pacol	20
5	-0.0110723228618746	-0.0728347271802552	0.0506900814565059	500pacol	25
6	-0.00889201061444101	-0.077876782887115	0.060092761658233	500pacol	30
7	0.0370901889709402	-0.0315898417360035	0.105770219677884	500pacol	35
8	-0.0548167613542756	-0.125081255840136	0.0154477331315851	500pacol	40
9	-0.132857877700953	-0.20667784764253	-0.0590379077593759	500pacol	45
10	-0.0886827588268782	-0.173740197253987	-0.00362532039976894	500pacol	50
11	0.124712209266425	0.0334435223434293	0.215980896189421	500pacol	55
12	-0.0745856144982959	-0.177280686875609	0.0281094578790175	500pacol	60
13	-0.140107524254393	-0.255630598820115	-0.0245844496886711	500pacol	65
14	-0.153033231939808	-0.282495387278947	-0.023571076600668	500pacol	70
15	0.109873165877705	-0.0342314098866666	0.253977741642076	500pacol	75
16	-0.13115598312202	-0.34277331263059	0.0804613463865494	500pacol	80
1	1	1	1	500pafn	5
2	0.227169994373563	0.177781433268304	0.276558555478823	500pafn	10
3	0.0678908793126019	0.0122170310057199	0.123564727619484	500pafn	15
4	0.0418339220446903	-0.0159722841514812	0.0996401282408618	500pafn	20
5	-0.0421725748334863	-0.104182867793336	0.0198377181263634	500pafn	25
6	0.0499589522261258	-0.019681431258524	0.119599335710776	500pafn	30
7	0.0464492804517908	-0.0167728112569104	0.109671372160492	500pafn	35
8	0.00424934852007281	-0.0638156245902259	0.0723143216303715	500pafn	40
9	0.0183395614335709	-0.0460033742128661	0.082682497080008	500pafn	45
10	-0.0798312287650791	-0.156290898288751	-0.00337155924140685	500pafn	50
11	-0.0466111931923263	-0.120358759010097	0.0271363726254445	500pafn	55
12	0.0105629373939548	-0.0612569321660836	0.0823828069539932	500pafn	60
13	-0.021045266451988	-0.100151892102095	0.0580613591981186	500pafn	65
14	0.000327240089689172	-0.0826039861332249	0.0832584663126032	500pafn	70
15	0.0406896205412403	-0.0419047502081035	0.123283991290584	500pafn	75
16	-0.0477934484446156	-0.133589448119238	0.0380025512300072	500pafn	80
17	-0.0926522381244773	-0.18146977420149	-0.00383470204746492	500pafn	85
18	0.0494989998145347	-0.0399464099031075	0.138944409532177	500pafn	90
19	0.0796404494485381	-0.0137670391666447	0.173047938063721	500pafn	95
20	-0.106906986972763	-0.205576189414292	-0.00823778453123446	500pafn	100
21	-0.206120381715385	-0.323044128120735	-0.0891966353100353	500pafn	105
22	-0.121825609343384	-0.241140290878056	-0.00251092780871155	500pafn	110
23	0.00361383845359866	-0.15625221066624	0.163479887573437	500pafn	115
24	0.210566160546985	0.00579842488805268	0.415333896205918	500pafn	120
1	1	1	1	30kpacol	5
2	0.206219159081365	0.128305328343958	0.284132989818773	30kpacol	10
3	0.0192901964283449	-0.0625230843786687	0.101103477235358	30kpacol	15
4	0.147073012367777	0.0600852034476827	0.234060821287871	30kpacol	20
5	0.0848992123598106	-0.00313485610476909	0.17293328082439	30kpacol	25
6	0.0789820658950738	-0.0199556861326327	0.17791981792278	30kpacol	30
7	0.0665311200805021	-0.0344668792242455	0.16752911938525	30kpacol	35
8	-0.00482098766474144	-0.126169973011632	0.116527997682149	30kpacol	40
9	0.0363889218667814	-0.0742753687710124	0.147053212504575	30kpacol	45
10	-0.0346430140502855	-0.142846300440577	0.0735602723400054	30kpacol	50
11	0.0514401448195647	-0.0627246228742787	0.165604912513408	30kpacol	55
12	0.0993448430651857	-0.0409635657004515	0.239653251830823	30kpacol	60
13	-0.12238381382193	-0.278823682737524	0.0340560550936635	30kpacol	65
14	-0.0538912233844266	-0.243009736892027	0.135227290123174	30kpacol	70
15	-0.11038866847997	-0.329666914129287	0.108889577169347	30kpacol	75
16	0.392813783233877	0.0926409964327094	0.692986570035044	30kpacol	80
1	1	1	1	30kpafn	5
2	0.57623628054715	0.536613267278612	0.615859293815688	30kpafn	10
3	0.361801474572388	0.308701053329819	0.414901895814956	30kpafn	15
4	0.193709322066369	0.134129075640346	0.253289568492392	30kpafn	20
5	0.0974375757272783	0.0352965136659574	0.159578637788599	30kpafn	25
6	0.145364166952278	0.0801289543516156	0.21059937955294	30kpafn	30
7	0.221522467372096	0.158519608300874	0.284525326443318	30kpafn	35
8	0.183465283523415	0.112089970760571	0.254840596286259	30kpafn	40
9	0.17403827004818	0.0970822889736518	0.250994251122708	30kpafn	45
10	0.178825644936539	0.0999279610943764	0.257723328778701	30kpafn	50
11	0.105757527133283	0.0186635226370736	0.192851531629493	30kpafn	55
12	0.134106943096779	0.0377295935255683	0.230484292667991	30kpafn	60
13	0.110594903568093	0.00806941804415441	0.213120389092031	30kpafn	65
14	0.0905354733415318	-0.0218474107429203	0.202918357425984	30kpafn	70
15	0.214932151684412	0.10158615169202	0.328278151676803	30kpafn	75
16	0.0442747611564615	-0.122672248104444	0.211221770417367	30kpafn	80
1	1	1	1	hacol	5
2	0.539751157484058	0.483446917996302	0.596055396971815	hacol	10
3	0.295896274993784	0.21231292503563	0.379479624951937	hacol	15
4	0.11378861908598	0.0102659424589767	0.217311295712984	hacol	20
5	0.0191792880990519	-0.072299822134993	0.110658398333097	hacol	25
6	-0.0679637056838916	-0.160924008384141	0.0249965970163576	hacol	30
7	0.0618839098410458	-0.0476759641424448	0.171443783824536	hacol	35
8	0.148525595159937	0.0370450989534498	0.260006091366423	hacol	40
9	-0.219307058792973	-0.347764033757915	-0.0908500838280316	hacol	45
10	-0.116379881083608	-0.246734177207551	0.0139744150403362	hacol	50
11	-0.101953332315971	-0.238228092616605	0.0343214279846625	hacol	55
12	0.175007936462795	0.0118179286621623	0.338197944263428	hacol	60
13	0.174771060175073	-0.0120452036996089	0.361587324049755	hacol	65
14	0.187384941111328	0.0237867137246754	0.35098316849798	hacol	70
15	0.0782642668365058	-0.111534984031855	0.268063517704867	hacol	75
16	-0.0214718904704021	-0.296036231376321	0.253092450435516	hacol	80
1	1	1	1	hafn	5
2	0.631868472187411	0.585167245021371	0.678569699353451	hafn	10
3	0.428815967550977	0.365219910222739	0.492412024879215	hafn	15
4	0.277511466189191	0.210359528021863	0.344663404356519	hafn	20
5	0.258869156337636	0.188548317433628	0.329189995241644	hafn	25
6	0.131002300202462	0.0568362196898706	0.205168380715054	hafn	30
7	0.100964256714252	0.0137336892869271	0.188194824141578	hafn	35
8	0.143889299780972	0.0547518946011425	0.233026704960801	hafn	40
9	0.121386589147564	0.0134917405658895	0.229281437729238	hafn	45
10	0.157818544214716	0.0428020650240261	0.272835023405405	hafn	50
11	0.332490502023029	0.211559146952471	0.453421857093587	hafn	55
12	0.209254502865313	0.0496555069308189	0.368853498799807	hafn	60
13	0.285999847895904	0.117022723534241	0.454976972257566	hafn	65
14	0.48050300475691	0.31003562546332	0.650970384050501	hafn	70
15	0.240211035616515	0.0699644836707738	0.410457587562257	hafn	75
16	0.0125814482912348	-0.173636077720347	0.198798974302817	hafn	80
1	1	1	1	glass	5
2	0.382792864327893	0.33066755252666	0.434918176129125	glass	10
3	0.188841731645752	0.120162204153372	0.257521259138132	glass	15
4	0.125580629733456	0.0559245313977637	0.195236728069149	glass	20
5	0.0231273286039013	-0.0460356145368087	0.0922902717446113	glass	25
6	0.0286355918800706	-0.0423502706890691	0.0996214544492104	glass	30
7	0.0960580298404757	0.0150520547732552	0.177064004907696	glass	35
8	-0.0107762449134763	-0.0880065629120451	0.0664540730850925	glass	40
9	-0.0175501078863248	-0.105450070464127	0.070349854691477	glass	45
10	-0.069168073068293	-0.174643882482604	0.0363077363460181	glass	50
11	-0.170402490658234	-0.276706882690696	-0.064098098625772	glass	55
12	-0.154692231096459	-0.268471868693465	-0.0409125934994529	glass	60
13	-0.154401759128362	-0.301942591992512	-0.00686092626421234	glass	65
14	0.261453213546985	0.130926363417105	0.391980063676865	glass	70
15	-0.00333847010477162	-0.169827746208939	0.163150805999395	glass	75
16	-0.0760087126793138	-0.308879566200816	0.156862140842188	glass	80
