i	mean	lower	upper	substrate	dt
1	1	1	1	500pafn	5
2	0.467180350268251	0.447073225982162	0.487287474554339	500pafn	10
3	0.307351434111322	0.283677983513008	0.331024884709636	500pafn	15
4	0.229461017404941	0.204572887863077	0.254349146946805	500pafn	20
5	0.228153357557159	0.20234273409318	0.253963981021139	500pafn	25
6	0.190376455704912	0.164264902659166	0.216488008750658	500pafn	30
7	0.0944012823776337	0.0669141457864929	0.121888418968775	500pafn	35
8	0.108616970979471	0.0800493371701929	0.137184604788748	500pafn	40
9	0.068697276296069	0.0387208438948858	0.0986737086972522	500pafn	45
10	0.0412371103293062	0.0100259452333	0.0724482754253125	500pafn	50
11	0.0486796028066549	0.0162857578635045	0.0810734477498052	500pafn	55
12	0.0112857530589177	-0.0220280421039885	0.0445995482218238	500pafn	60
13	-0.0273161390273918	-0.0612579892806544	0.00662571122587079	500pafn	65
14	-0.0200856317035043	-0.0567845847194836	0.016613321312475	500pafn	70
15	-0.0243019372389759	-0.0617543749619835	0.0131505004840316	500pafn	75
16	-0.0127182877532731	-0.0525190333155356	0.0270824578089895	500pafn	80
17	0.00331396126060678	-0.0388215846580937	0.0454495071793073	500pafn	85
18	0.121980989260536	0.0763917801030238	0.167570198418047	500pafn	90
19	0.127164687680674	0.0757669997771057	0.178562375584243	500pafn	95
20	0.129071071734086	0.0716491926835762	0.186492950784596	500pafn	100
21	0.110169200323851	0.0435549735806799	0.176783427067022	500pafn	105
22	0.0639002617068207	-0.0301637120862364	0.157964235499878	500pafn	110
23	0.0377693894878768	-0.112741999576509	0.188280778552262	500pafn	115
1	1	1	1	glass	5
2	0.547555712613501	0.522737443146218	0.572373982080784	glass	10
3	0.330581442204481	0.300383086885724	0.360779797523238	glass	15
4	0.229269083704768	0.196888502085459	0.261649665324076	glass	20
5	0.206784202026413	0.173916400151837	0.23965200390099	glass	25
6	0.163849885081245	0.128667125382712	0.199032644779777	glass	30
7	0.148873721086726	0.111878717670796	0.185868724502655	glass	35
8	0.0997698252196465	0.0617168218695146	0.137822828569778	glass	40
9	0.0769097098189297	0.0364313863416672	0.117388033296192	glass	45
10	0.118667832516517	0.0763581402662499	0.160977524766785	glass	50
11	0.0799785508985897	0.0347492750924741	0.125207826704705	glass	55
12	-0.0105383084727299	-0.0603275430736024	0.0392509261281426	glass	60
13	0.0100433392391935	-0.0409022566601934	0.0609889351385803	glass	65
14	0.0360354028758607	-0.0194907524834729	0.0915615582351942	glass	70
15	-0.0743848702632507	-0.13778032382389	-0.0109894167026114	glass	75
16	-0.0544680297566425	-0.125283442407303	0.0163473828940184	glass	80
17	-0.0514964845466618	-0.151459304039933	0.0484663349466095	glass	85
18	0.128287715033019	-0.0444729523594037	0.301048382425441	glass	90
