i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.335685679509183	0.293382456510595	0.377988902507771	500pacol	10
3	0.264179073888336	0.222283523439687	0.306074624336984	500pacol	15
4	0.147095813030563	0.102963895989964	0.191227730071162	500pacol	20
5	0.0237280723386526	-0.0234733667975062	0.0709295114748114	500pacol	25
6	0.0330551615658844	-0.0159921329747379	0.0821024561065066	500pacol	30
7	-0.0430665859247762	-0.0936172613227386	0.00748408947318616	500pacol	35
8	-0.0638035368250612	-0.115968485366359	-0.011638588283763	500pacol	40
9	0.0147288271909571	-0.044699959877766	0.0741576142596802	500pacol	45
10	0.0850151575409841	0.0261967890115563	0.143833526070412	500pacol	50
11	0.0890539658755229	0.0289382332679682	0.149169698483078	500pacol	55
12	0.147353274439582	0.0783954099812726	0.216311138897892	500pacol	60
13	0.214468809094033	0.142524288142925	0.286413330045142	500pacol	65
14	0.0574499880897164	-0.0225994090945872	0.13749938527402	500pacol	70
15	0.0367855191469429	-0.0544149397888438	0.12798597808273	500pacol	75
16	0.223943193062297	0.119129339331644	0.32875704679295	500pacol	80
17	0.239092447781714	0.0973150733502176	0.380869822213211	500pacol	85
1	1	1	1	30kpacol	5
2	0.196352578829476	0.151769130535725	0.240936027123226	30kpacol	10
3	0.0386324126699855	-0.00765842507723844	0.0849232504172094	30kpacol	15
4	0.123576664602464	0.0755246999137493	0.171628629291179	30kpacol	20
5	0.125462041213202	0.0760666296945447	0.17485745273186	30kpacol	25
6	0.0720715258834135	0.0197261501229982	0.124416901643829	30kpacol	30
7	0.142223269111465	0.0889300655413499	0.195516472681579	30kpacol	35
8	0.114869650754579	0.0587599208288483	0.170979380680311	30kpacol	40
9	0.0461550040628173	-0.0102190825368126	0.102529090662447	30kpacol	45
10	0.225330220896218	0.16726801686629	0.283392424926146	30kpacol	50
11	0.0743650227786565	0.0164317952103644	0.132298250346949	30kpacol	55
12	0.0502136825747697	-0.0155994471724894	0.116026812322029	30kpacol	60
13	0.0597798665784225	-0.00799145181793508	0.12755118497478	30kpacol	65
14	0.0503514479199456	-0.0165929430527933	0.117295838892685	30kpacol	70
15	0.049805937118375	-0.0185908157673963	0.118202690004146	30kpacol	75
16	0.022873852982776	-0.0550320435408355	0.100779749506387	30kpacol	80
17	0.00342334643877808	-0.0756260860398123	0.0824727789173685	30kpacol	85
18	-0.0386098195050193	-0.121061785981021	0.0438421469709827	30kpacol	90
19	0.0596936040588904	-0.033351698121563	0.152738906239344	30kpacol	95
20	0.268967387786094	0.173019144315588	0.364915631256599	30kpacol	100
21	0.114260210552334	0.00877054526142969	0.219749875843238	30kpacol	105
22	0.197612144616898	0.0808824836697382	0.314341805564058	30kpacol	110
23	-0.0281524358778164	-0.198123966876953	0.14181909512132	30kpacol	115
24	0.0821706674409731	-0.124752318452655	0.289093653334601	30kpacol	120
1	1	1	1	30kpafn	5
2	0.589631019049749	0.550225304347436	0.629036733752062	30kpafn	10
3	0.488861501559461	0.442564264969634	0.535158738149289	30kpafn	15
4	0.526965449371625	0.478769385574813	0.575161513168438	30kpafn	20
5	0.5171209461448	0.464152674843191	0.57008921744641	30kpafn	25
6	0.489938756724988	0.431758457749667	0.548119055700309	30kpafn	30
7	0.445188717676604	0.381724818394898	0.50865261695831	30kpafn	35
8	0.376314377389322	0.305723325761322	0.446905429017322	30kpafn	40
9	0.356239774000456	0.272043400298116	0.440436147702796	30kpafn	45
10	0.392369793402562	0.303771628060254	0.48096795874487	30kpafn	50
11	0.445731800010782	0.336154332780475	0.555309267241088	30kpafn	55
12	0.204602452467099	0.0241211037364361	0.385083801197761	30kpafn	60
1	1	1	1	hacol	5
2	0.353896697555849	0.317029407670879	0.390763987440818	hacol	10
3	0.0907398858883135	0.0479422136190713	0.133537558157556	hacol	15
4	0.0596493601213813	0.0151326542015772	0.104166066041185	hacol	20
5	0.133271637368025	0.0895401418298389	0.177003132906212	hacol	25
6	0.131332869768642	0.0862320578760631	0.17643368166122	hacol	30
7	0.0689897205368726	0.0214689710641859	0.116510470009559	hacol	35
8	0.0992193952810135	0.0489466683673815	0.149492122194645	hacol	40
9	0.0927559880077592	0.0414382551125354	0.144073720902983	hacol	45
10	0.098655251188213	0.044505740649316	0.15280476172711	hacol	50
11	0.0850772875955397	0.0278478381831696	0.14230673700791	hacol	55
12	0.142790157492993	0.0881894680513276	0.197390846934659	hacol	60
13	0.134939063848623	0.0756679081128025	0.194210219584444	hacol	65
14	0.157644127759064	0.0948735055295455	0.220414749988583	hacol	70
15	0.129035825102681	0.0657282757626747	0.192343374442688	hacol	75
16	0.166750304297765	0.100760144002361	0.232740464593169	hacol	80
17	0.0321760032333927	-0.0382909825343517	0.102642989001137	hacol	85
18	-0.073228315809046	-0.148156395048977	0.00169976343088495	hacol	90
19	-0.178571374022256	-0.261172667285595	-0.0959700807589168	hacol	95
20	-0.00976466473815388	-0.116501620548421	0.0969722910721134	hacol	100
21	-0.123151159984496	-0.225412069043506	-0.0208902509254851	hacol	105
22	-0.167797929183729	-0.290292462330926	-0.0453033960365314	hacol	110
23	-0.116720614655219	-0.275844791529568	0.0424035622191301	hacol	115
24	0.0545441264674744	-0.161051710701422	0.270139963636371	hacol	120
1	1	1	1	hafn	5
2	0.606965874920042	0.584387901669408	0.629543848170676	hafn	10
3	0.433758223141752	0.405480112792181	0.462036333491322	hafn	15
4	0.347177624278123	0.316779357495673	0.377575891060573	hafn	20
5	0.309944751088765	0.277894954019022	0.341994548158509	hafn	25
6	0.264882480040983	0.231168815965726	0.29859614411624	hafn	30
7	0.244138501156249	0.209382674311177	0.278894328001321	hafn	35
8	0.279918646743894	0.24562565720467	0.314211636283117	hafn	40
9	0.209616078427007	0.173056741203523	0.246175415650492	hafn	45
10	0.202988408841541	0.164850742954577	0.241126074728505	hafn	50
11	0.180567924439523	0.140824930764067	0.220310918114978	hafn	55
12	0.211808781589167	0.170696598382527	0.252920964795806	hafn	60
13	0.156423830000551	0.113934808604087	0.198912851397015	hafn	65
14	0.208949862161631	0.164077744028413	0.25382198029485	hafn	70
15	0.254035181865041	0.208814995426648	0.299255368303434	hafn	75
16	0.192353937563499	0.145783341690267	0.238924533436732	hafn	80
17	0.246360805444271	0.198541440158158	0.294180170730383	hafn	85
18	0.269183483634131	0.217476888412754	0.320890078855508	hafn	90
19	0.234616162676243	0.177779022164235	0.291453303188251	hafn	95
20	0.241991404846377	0.177245913394523	0.30673689629823	hafn	100
21	0.246765507285041	0.171263284465173	0.32226773010491	hafn	105
22	0.0557477005849553	-0.0285113597761072	0.140006760946018	hafn	110
23	0.12518313637398	0.0249403925469942	0.225425880200966	hafn	115
24	0.0268969229558266	-0.154750688103391	0.208544534015044	hafn	120
1	1	1	1	glass	5
2	0.35950728911779	0.325960019782045	0.393054558453534	glass	10
3	0.217832174177209	0.180137347528715	0.255527000825703	glass	15
4	0.185038981153741	0.145225409544416	0.224852552763065	glass	20
5	0.199434815061976	0.159341246909204	0.239528383214748	glass	25
6	0.154923887776249	0.113908737214322	0.195939038338177	glass	30
7	0.130780725314206	0.0887618836122637	0.172799567016149	glass	35
8	0.15002895837871	0.106502113656385	0.193555803101034	glass	40
9	0.147323964246204	0.101873980851651	0.192773947640757	glass	45
10	0.130451733046918	0.0847125287751853	0.17619093731865	glass	50
11	0.238689767843292	0.188670355349926	0.288709180336658	glass	55
12	0.242610868518954	0.196766939708996	0.288454797328913	glass	60
13	0.144610525496801	0.0940906718832871	0.195130379110315	glass	65
14	0.103723342584459	0.050988091013298	0.15645859415562	glass	70
15	0.122416416092738	0.0664526362409551	0.178380195944521	glass	75
16	0.0399472293818058	-0.0204984270100815	0.100392885773693	glass	80
