i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.720199707260808	0.711012392079356	0.729387022442261	500pacol	10
3	0.705651735783828	0.696168121726304	0.715135349841352	500pacol	15
4	0.683506766068764	0.673423025620556	0.693590506516971	500pacol	20
5	0.653226909929931	0.642549517231802	0.66390430262806	500pacol	25
6	0.611120000034578	0.599482976497065	0.62275702357209	500pacol	30
7	0.59693520456781	0.584622558097048	0.609247851038571	500pacol	35
8	0.563870519510741	0.550977160228868	0.576763878792613	500pacol	40
9	0.542525602805958	0.528777764481366	0.556273441130551	500pacol	45
10	0.511707974951013	0.497306497524294	0.526109452377731	500pacol	50
11	0.506429208224687	0.491438104047201	0.521420312402174	500pacol	55
12	0.476677690582068	0.460781845713549	0.492573535450587	500pacol	60
13	0.433262347033002	0.415959190759757	0.450565503306246	500pacol	65
14	0.428583104199566	0.41028570086131	0.446880507537822	500pacol	70
15	0.395242830046809	0.375885587510077	0.414600072583541	500pacol	75
16	0.362672251893119	0.341592387317661	0.383752116468576	500pacol	80
17	0.380933901762024	0.35870998299216	0.403157820531887	500pacol	85
18	0.326046732004729	0.30149831354486	0.350595150464599	500pacol	90
19	0.292502723480564	0.265960313744552	0.319045133216577	500pacol	95
20	0.267887992511667	0.237893420925061	0.297882564098273	500pacol	100
21	0.246418169867607	0.212937201889603	0.279899137845611	500pacol	105
22	0.231016758060575	0.192596645819178	0.269436870301972	500pacol	110
23	0.181989032473785	0.134048424455239	0.229929640492332	500pacol	115
24	0.205664129152026	0.139557515262402	0.27177074304165	500pacol	120
1	1	1	1	500pafn	5
2	0.59980173568901	0.586143456731465	0.613460014646556	500pafn	10
3	0.566618448395859	0.55316056463636	0.580076332155357	500pafn	15
4	0.451110650381174	0.435983380518897	0.46623792024345	500pafn	20
5	0.318472737655724	0.30155001810551	0.335395457205937	500pafn	25
6	0.20646707413465	0.188213779118628	0.224720369150671	500pafn	30
7	0.128558744475789	0.109629379332841	0.147488109618737	500pafn	35
8	0.0773917665671693	0.0574802808753015	0.0973032522590371	500pafn	40
9	0.00658781647071173	-0.0141555846221142	0.0273312175635376	500pafn	45
10	-0.00114072956898928	-0.0227205030195874	0.0204390438816088	500pafn	50
11	-0.00831232227049242	-0.0303883438099659	0.0137636992689811	500pafn	55
12	-0.000762142278769891	-0.0236077289703085	0.0220834444127687	500pafn	60
13	0.0115428524939198	-0.0121979047082072	0.0352836096960468	500pafn	65
14	0.02115273546491	-0.00390985299875871	0.0462153239285787	500pafn	70
15	0.0287575392482198	0.00262997146078136	0.0548851070356582	500pafn	75
16	0.03465796695669	0.00709826057473562	0.0622176733386443	500pafn	80
17	0.0322555520436521	0.00308286468913884	0.0614282393981654	500pafn	85
18	0.0211284306655645	-0.0104272807280516	0.0526841420591806	500pafn	90
19	-0.0129878074414905	-0.0471576421140512	0.0211820272310702	500pafn	95
20	-0.0232161325968304	-0.0600953713558926	0.0136631061622317	500pafn	100
21	-0.0401894289162592	-0.080408632693748	2.97748612295839e-05	500pafn	105
22	-0.0566396693004851	-0.104229937677244	-0.00904940092372668	500pafn	110
23	-0.1154022288534	-0.172062949755154	-0.0587415079516463	500pafn	115
24	-0.105038290600838	-0.18511335494171	-0.0249632262599666	500pafn	120
1	1	1	1	30kpacol	5
2	0.798799065929222	0.791780662427012	0.805817469431432	30kpacol	10
3	0.774728338235346	0.767219617181683	0.782237059289008	30kpacol	15
4	0.758941235985134	0.751160014562108	0.766722457408159	30kpacol	20
5	0.727448941603292	0.71870210505901	0.736195778147573	30kpacol	25
6	0.699439557380763	0.690149299386912	0.708729815374614	30kpacol	30
7	0.681412043653748	0.671640576901933	0.691183510405563	30kpacol	35
8	0.64925960238334	0.638694841193701	0.659824363572979	30kpacol	40
9	0.625022901327649	0.6137935029558	0.636252299699497	30kpacol	45
10	0.594533187082181	0.582222499696829	0.606843874467534	30kpacol	50
11	0.579364391263278	0.566321114614568	0.592407667911989	30kpacol	55
12	0.554799247973878	0.540973138303838	0.568625357643918	30kpacol	60
13	0.532843817027807	0.51802409772632	0.547663536329294	30kpacol	65
14	0.502877203913122	0.487012850123027	0.518741557703218	30kpacol	70
15	0.466189338893077	0.448470932761808	0.483907745024346	30kpacol	75
16	0.447991861651102	0.429211622721099	0.466772100581106	30kpacol	80
17	0.432886800140984	0.412727782603164	0.453045817678804	30kpacol	85
18	0.403069684544633	0.38078088398294	0.425358485106327	30kpacol	90
19	0.39629551992551	0.372200649134127	0.420390390716892	30kpacol	95
20	0.36687574073849	0.33993539448509	0.393816086991889	30kpacol	100
21	0.335810032877811	0.305142937824216	0.366477127931407	30kpacol	105
22	0.34013871431118	0.303238973522375	0.377038455099985	30kpacol	110
23	0.364737625879702	0.321917186647947	0.407558065111456	30kpacol	115
24	0.281812998008851	0.219043701740167	0.344582294277535	30kpacol	120
1	1	1	1	30kpafn	5
2	0.758432900163648	0.749322837198278	0.767542963129018	30kpafn	10
3	0.716310173494642	0.706814109272328	0.725806237716955	30kpafn	15
4	0.647268106278565	0.636685158620823	0.657851053936308	30kpafn	20
5	0.578753984399071	0.566587127575952	0.59092084122219	30kpafn	25
6	0.500831915180083	0.487039245930313	0.514624584429852	30kpafn	30
7	0.457230208499114	0.442501232115619	0.471959184882609	30kpafn	35
8	0.410330581313207	0.394578614485364	0.42608254814105	30kpafn	40
9	0.354374102872785	0.337535035990678	0.371213169754891	30kpafn	45
10	0.326779475835225	0.309183240910725	0.344375710759724	30kpafn	50
11	0.296085995848111	0.277680201171632	0.31449179052459	30kpafn	55
12	0.259387594995815	0.239970253612368	0.278804936379261	30kpafn	60
13	0.232546929769768	0.211999275295066	0.25309458424447	30kpafn	65
14	0.213837936142275	0.192306456370513	0.235369415914037	30kpafn	70
15	0.184125937098688	0.161262833388482	0.206989040808894	30kpafn	75
16	0.165449087407906	0.141220925128186	0.189677249687625	30kpafn	80
17	0.125803537700647	0.0995422513904914	0.152064824010803	30kpafn	85
18	0.120443497273901	0.092763642979786	0.148123351568015	30kpafn	90
19	0.127358111123367	0.0971590873654549	0.157557134881279	30kpafn	95
20	0.154854755195708	0.122079085707913	0.187630424683503	30kpafn	100
21	0.144196200840908	0.107755875234423	0.180636526447394	30kpafn	105
22	0.151695135189302	0.109595618111922	0.193794652266683	30kpafn	110
23	0.132091733842307	0.079150592652679	0.185032875031936	30kpafn	115
24	0.185386405623175	0.108805480119889	0.26196733112646	30kpafn	120
1	1	1	1	hacol	5
2	-0.286507653121226	-0.307880390234194	-0.265134916008259	hacol	10
3	-0.0819491858777653	-0.104283226337928	-0.0596151454176031	hacol	15
4	-0.0538817205935186	-0.0778959627868553	-0.0298674784001818	hacol	20
5	-0.0211246471123792	-0.0459299031745177	0.00368060894975931	hacol	25
6	0.00257204062680199	-0.0216464898240379	0.0267905710776419	hacol	30
7	-0.0120400407767233	-0.0377711459644089	0.0136910644109622	hacol	35
8	0.0146126775080917	-0.0113065740497314	0.0405319290659149	hacol	40
9	0.0124837794157542	-0.0137627470458372	0.0387303058773456	hacol	45
10	0.00396259682690725	-0.0241913563377139	0.0321165499915284	hacol	50
11	-0.0218940612831161	-0.0503588863118472	0.00657076374561493	hacol	55
12	-0.00733739422611846	-0.0368391758488757	0.0221643873966388	hacol	60
13	-0.0473456148289966	-0.0788530676776509	-0.0158381619803423	hacol	65
14	0.00255111152128485	-0.0293723220136384	0.0344745450562081	hacol	70
15	-0.0522804766058272	-0.087209118705761	-0.0173518345058935	hacol	75
16	-0.0109986701579798	-0.0457735133850801	0.0237761730691206	hacol	80
17	-0.0638923438415505	-0.103461144067094	-0.0243235436160067	hacol	85
