i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.583219440732617	0.558273335552645	0.608165545912589	500pacol	10
3	0.469599758294403	0.439114983823216	0.50008453276559	500pacol	15
4	0.359525226396266	0.324641200612764	0.394409252179768	500pacol	20
5	0.282877404355042	0.247391023514776	0.318363785195308	500pacol	25
6	0.254547040083398	0.216698358311782	0.292395721855013	500pacol	30
7	0.175864822846403	0.135213505317108	0.216516140375698	500pacol	35
8	0.103178138094298	0.0620608632815484	0.144295412907048	500pacol	40
9	0.0111600744202674	-0.0317469568267886	0.0540671056673233	500pacol	45
10	-0.0481480459365611	-0.0931011843953472	-0.00319490747777514	500pacol	50
11	-0.0507263565932352	-0.0960454416122688	-0.00540727157420157	500pacol	55
12	-0.014047954463894	-0.0599475715740271	0.0318516626462391	500pacol	60
13	-0.0058502696553995	-0.055455837645795	0.043755298334996	500pacol	65
14	-0.0126116841649401	-0.0652618637640407	0.0400384954341606	500pacol	70
15	-0.0330314584610421	-0.0864586548369678	0.0203957379148836	500pacol	75
16	-0.0336570955786696	-0.088626553200808	0.0213123620434688	500pacol	80
17	0.0356673009794077	-0.0261225305254358	0.0974571324842511	500pacol	85
18	0.136507802065015	0.0718238319816257	0.201191772148405	500pacol	90
19	0.0426113439862909	-0.0309837405344524	0.116206428507034	500pacol	95
20	-0.0181760113177226	-0.0964750198331862	0.0601229971977411	500pacol	100
21	0.0109719840789589	-0.0777150825748344	0.0996590507327521	500pacol	105
22	-0.00516623613874162	-0.11386786539857	0.103535393121086	500pacol	110
23	0.00793841343145658	-0.146397692166046	0.162274519028959	500pacol	115
24	-0.117447253156555	-0.325458185800006	0.0905636794868954	500pacol	120
1	1	1	1	500pafn	5
2	0.493501398396324	0.470379529204247	0.5166232675884	500pafn	10
3	0.347047242850574	0.317991259911016	0.376103225790132	500pafn	15
4	0.306900234740555	0.275459840651335	0.338340628829776	500pafn	20
5	0.321711844336188	0.289722164489023	0.353701524183352	500pafn	25
6	0.284741873141886	0.250616891995254	0.318866854288518	500pafn	30
7	0.266914785682177	0.228755541444612	0.305074029919743	500pafn	35
8	0.17599810809914	0.133602916863651	0.218393299334629	500pafn	40
9	0.136668274064184	0.0853729873524006	0.187963560775967	500pafn	45
10	0.170934278348401	0.108823152145369	0.233045404551433	500pafn	50
11	0.16345709470177	0.0776978177456535	0.249216371657887	500pafn	55
12	0.172835781102326	0.0341929331045116	0.311478629100141	500pafn	60
1	1	1	1	30kpacol	5
2	0.746914150017341	0.730547839110379	0.763280460924302	30kpacol	10
3	0.623409456189885	0.600679008781719	0.646139903598052	30kpacol	15
4	0.477188056607288	0.448848996698614	0.505527116515963	30kpacol	20
5	0.392640155259075	0.359927632246779	0.425352678271372	30kpacol	25
6	0.298877404371634	0.262796337260195	0.334958471483074	30kpacol	30
7	0.21419085368153	0.174824011576989	0.253557695786071	30kpacol	35
8	0.188206621851653	0.148792836539035	0.227620407164271	30kpacol	40
9	0.160992430179066	0.120795838403413	0.201189021954719	30kpacol	45
10	0.0612059605919989	0.0165664762339571	0.105845444950041	30kpacol	50
11	0.100516485237133	0.0550126705893815	0.146020299884884	30kpacol	55
12	0.0460572730185623	0.000203372886047611	0.0919111731510769	30kpacol	60
13	0.127452689404181	0.0780154002866612	0.1768899785217	30kpacol	65
14	0.112325825947125	0.0623146387394034	0.162337013154847	30kpacol	70
15	0.105814635230016	0.0516580502035804	0.159971220256452	30kpacol	75
16	0.105556612291735	0.0501339095350792	0.160979315048391	30kpacol	80
17	0.106360516475745	0.0468309724212471	0.165890060530242	30kpacol	85
18	0.130197605142193	0.0694738212464058	0.19092138903798	30kpacol	90
19	0.113052119701378	0.0442638437640917	0.181840395638665	30kpacol	95
20	0.149433329397717	0.0724585921172136	0.22640806667822	30kpacol	100
21	0.0948810716985602	0.00496192143427492	0.184800221962845	30kpacol	105
22	-0.0375933450013275	-0.14714864566515	0.0719619556624948	30kpacol	110
23	-0.044551192798664	-0.234280944637954	0.145178559040626	30kpacol	115
24	0.0632455532033676	0	0.126491106406735	30kpacol	120
1	1	1	1	30kpafn	5
2	0.386843017414329	0.34957196236524	0.424114072463419	30kpafn	10
3	0.164029209367507	0.122941689865771	0.205116728869242	30kpafn	15
4	0.0924234566462478	0.0478131283866957	0.1370337849058	30kpafn	20
5	0.0596324512869426	0.00995521876865547	0.10930968380523	30kpafn	25
6	0.00939476340117151	-0.042981516487603	0.061771043289946	30kpafn	30
7	-0.008062114822712	-0.0648563362045817	0.0487321065591577	30kpafn	35
8	-0.064169484639153	-0.129780521799725	0.00144155252141863	30kpafn	40
9	-0.0600524915830355	-0.136361096983462	0.0162561138173915	30kpafn	45
10	-0.0431469218318305	-0.136342864546694	0.0500490208830327	30kpafn	50
