i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.0911517785433966	0.0400677899623729	0.14223576712442	500pacol	10
3	0.184403355779106	0.133429368633513	0.235377342924699	500pacol	15
4	0.0860410879745982	0.0322923996697817	0.139789776279415	500pacol	20
5	0.150920146252206	0.0980401517213082	0.203800140783104	500pacol	25
6	0.153190437516961	0.0951204947520743	0.211260380281848	500pacol	30
7	0.100099311509821	0.0391114032669791	0.161087219752662	500pacol	35
8	0.0859772050539812	0.024670316945626	0.147284093162336	500pacol	40
9	0.179752543873501	0.111556657770683	0.247948429976319	500pacol	45
10	0.151134587211127	0.0788352957601883	0.223433878662067	500pacol	50
11	0.0770186977174345	-0.00537927819624608	0.159416673631115	500pacol	55
12	-0.0570388050161892	-0.142835150656548	0.0287575406241699	500pacol	60
13	-0.103259931691741	-0.197706594407451	-0.00881326897603109	500pacol	65
14	-0.0201777899723514	-0.138382172618909	0.0980265926742057	500pacol	70
15	0.0196806453449007	-0.109177520295245	0.148538810985046	500pacol	75
1	1	1	1	500pafn	5
2	0.351388769055595	0.310553308182992	0.392224229928198	500pafn	10
3	0.31283560605393	0.267650416933215	0.358020795174646	500pafn	15
4	0.250562723756288	0.201210002916229	0.299915444596347	500pafn	20
5	0.346789468343285	0.302997237884741	0.390581698801829	500pafn	25
6	0.271757133110506	0.221551059027127	0.321963207193886	500pafn	30
7	0.200136230196143	0.146432820483777	0.253839639908508	500pafn	35
8	0.277960244229379	0.222759098953076	0.333161389505682	500pafn	40
9	0.192956659478164	0.127169393200133	0.258743925756196	500pafn	45
10	0.367361493356554	0.307674916250626	0.427048070462481	500pafn	50
11	0.216880798214497	0.137200486413797	0.296561110015197	500pafn	55
12	0.180746514727456	0.0885042219282326	0.27298880752668	500pafn	60
13	0.258186062393982	0.144406687279928	0.371965437508035	500pafn	65
14	0.16629034495114	0.00678493759835316	0.325795752303926	500pafn	70
1	1	1	1	30kpacol	5
2	0.237172307649561	0.180187513061829	0.294157102237292	30kpacol	10
3	0.287466360871338	0.230999398185316	0.34393332355736	30kpacol	15
4	0.266670621940338	0.205065198895206	0.328276044985471	30kpacol	20
5	0.0900058409409331	0.0181527593085268	0.161858922573339	30kpacol	25
6	0.150144911595916	0.0755760315015463	0.224713791690286	30kpacol	30
7	0.0337179872140108	-0.0479571508689169	0.115393125296939	30kpacol	35
8	0.07673536132291	-0.00484475978943581	0.158315482435256	30kpacol	40
9	0.0271921698291621	-0.0742507956103189	0.128635135268643	30kpacol	45
10	0.138786666040638	0.027653351504773	0.249919980576503	30kpacol	50
