i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	-0.00880955777973299	-0.0341944006727856	0.0165752851133196	500pacol	10
3	0.00654724181122533	-0.0184665495541332	0.0315610331765839	500pacol	15
4	0.00214513444193395	-0.0232923313191531	0.0275826002030211	500pacol	20
5	0.0338423559980866	0.00851450780958652	0.0591702041865867	500pacol	25
6	0.0353984444271001	0.00869285198294666	0.0621040368712535	500pacol	30
7	0.0612351414259435	0.0337316289798826	0.0887386538720044	500pacol	35
8	0.0179857554294362	-0.0106367165928815	0.0466082274517538	500pacol	40
9	0.0280735075653106	-0.000615203368504683	0.0567622184991259	500pacol	45
10	-0.00928136808670729	-0.0385403859820161	0.0199776498086015	500pacol	50
11	0.0519803550766014	0.020794871588505	0.0831658385646978	500pacol	55
12	-0.036705050176947	-0.068801019312941	-0.00460908104095294	500pacol	60
13	0.0485061085038998	0.0154446050798239	0.0815676119279757	500pacol	65
14	-0.0218199344456034	-0.05655775691247	0.0129178880212632	500pacol	70
15	0.0241020377532536	-0.0127907495825484	0.0609948250890557	500pacol	75
16	0.0510622447748781	0.0121654400292233	0.0899590495205329	500pacol	80
17	0.0385277986747926	-0.00190699083035968	0.0789625881799449	500pacol	85
18	-0.0617370373168581	-0.105360207423786	-0.0181138672099307	500pacol	90
19	0.0309322973763207	-0.0141905239117487	0.0760551186643901	500pacol	95
20	-0.0433038593994733	-0.0937371254792733	0.0071294066803267	500pacol	100
21	-0.0348462180076833	-0.0929597496875501	0.0232673136721834	500pacol	105
22	0.0855037958144399	0.0180277738932138	0.152979817735666	500pacol	110
23	-0.0630085377230962	-0.145996844972982	0.01997976952679	500pacol	115
24	0.0598326357714309	-0.0598097897891543	0.179475061332016	500pacol	120
1	1	1	1	500pafn	5
2	-0.0904831194493809	-0.117240107439651	-0.0637261314591104	500pafn	10
3	0.00771301497633768	-0.0187571538817406	0.034183183834416	500pafn	15
4	0.00267945535070871	-0.0246214943945785	0.0299804050959959	500pafn	20
5	-0.00685862692915563	-0.0345078362480214	0.0207905823897102	500pafn	25
6	0.0441154155884259	0.0149465198303461	0.0732843113465057	500pafn	30
7	-0.00314353235706005	-0.0326212630990531	0.0263341983849329	500pafn	35
8	-0.0311895059884583	-0.0627954277138615	0.000416415736945022	500pafn	40
9	0.0258388967300364	-0.006326231605983	0.0580040250660557	500pafn	45
10	-0.0614666594467211	-0.0931914799989354	-0.0297418388945067	500pafn	50
11	-0.0144395522084275	-0.0476879011675542	0.0188087967506991	500pafn	55
12	-0.0281040819729362	-0.0621617738033425	0.00595360985747018	500pafn	60
13	-0.0456237346312458	-0.0808260303158859	-0.0104214389466056	500pafn	65
14	-0.0841392867031886	-0.119775176758437	-0.0485033966479405	500pafn	70
15	-0.0379762819213787	-0.0755962032795147	-0.000356360563242682	500pafn	75
16	0.019512153734801	-0.0200816404736413	0.0591059479432432	500pafn	80
17	0.00459190777780572	-0.0362703440662074	0.0454541596218188	500pafn	85
18	-0.015802033673691	-0.0610201289381911	0.0294160615908091	500pafn	90
19	-0.00948901500212763	-0.0574473148393504	0.0384692848350951	500pafn	95
20	-0.0323553776041468	-0.0863483796538157	0.0216376244455221	500pafn	100
21	-0.0701067766967502	-0.128376175568497	-0.0118373778250032	500pafn	105
22	0.0767989832084927	0.00844709048551921	0.145150875931466	500pafn	110
23	0.0264946246127616	-0.0571485911818303	0.110137840407353	500pafn	115
24	0.00651402690263365	-0.106940219934733	0.11996827374	500pafn	120
1	1	1	1	30kpacol	5
2	0.0779987600829096	0.0467120293169914	0.109285490848828	30kpacol	10
3	0.159229611916194	0.127842437534907	0.190616786297482	30kpacol	15
4	0.173839951058022	0.142021788282105	0.205658113833939	30kpacol	20
5	0.161567822885622	0.130130715301333	0.193004930469911	30kpacol	25
6	0.144617233731276	0.112007903590851	0.177226563871701	30kpacol	30
7	0.0827403576780467	0.0490979980980747	0.116382717258019	30kpacol	35
8	0.00506717003388428	-0.0301868087816383	0.0403211488494069	30kpacol	40
9	0.0704881780791922	0.0343111739333746	0.10666518222501	30kpacol	45
10	0.120967551655342	0.0839340903348231	0.158001012975861	30kpacol	50
11	0.0383008474786916	-0.000534249714368586	0.0771359446717517	30kpacol	55
12	0.0707904466828923	0.0316788573220907	0.109902036043694	30kpacol	60
13	-0.179688879227084	-0.219397949436973	-0.139979809017194	30kpacol	65
14	-0.151875236669626	-0.194948151197795	-0.108802322141458	30kpacol	70
15	-0.138355723428256	-0.183159757271607	-0.0935516895849041	30kpacol	75
16	-0.0957111319675323	-0.144844756863634	-0.0465775070714301	30kpacol	80
17	-0.057399628062805	-0.111547101301069	-0.0032521548245412	30kpacol	85
18	-0.203800011703839	-0.26029530056172	-0.147304722845959	30kpacol	90
19	-0.186221959950504	-0.246254980897076	-0.126188939003931	30kpacol	95
20	0.285894644203812	0.221442138965577	0.350347149442047	30kpacol	100
21	-0.0126084930466908	-0.0902587025745915	0.0650417164812099	30kpacol	105
22	-0.0709072012911455	-0.148440937014456	0.006626534432165	30kpacol	110
23	-0.0738483774503469	-0.168961493316649	0.0212647384159552	30kpacol	115
24	-0.329667868144168	-0.446453821139075	-0.212881915149261	30kpacol	120
1	1	1	1	30kpafn	5
2	-0.0344148514566073	-0.0737503764173748	0.00492067350416022	30kpafn	10
3	-0.00698746893007309	-0.0462052279787289	0.0322302901185828	30kpafn	15
4	-0.0618316206514897	-0.101238809124689	-0.0224244321782908	30kpafn	20
5	-0.0466459675428024	-0.0877952664275161	-0.00549666865808866	30kpafn	25
6	0.0844690272456994	0.0433356394132472	0.125602415078152	30kpafn	30
7	0.0777204364616566	0.0373038898148594	0.118136983108454	30kpafn	35
8	0.0692882506793794	0.0255553851653277	0.113021116193431	30kpafn	40
9	0.0440857410732493	-0.0016729415930758	0.0898444237395744	30kpafn	45
10	0.0161008889436296	-0.031304375413106	0.0635061533003653	30kpafn	50
11	-0.0167461611754941	-0.0631777976926712	0.029685475341683	30kpafn	55
12	0.0908728129513715	0.0440932198994621	0.137652406003281	30kpafn	60
13	0.0639350259520653	0.0151240569926559	0.112745994911475	30kpafn	65
