i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.414962133595555	0.382947784055542	0.446976483135567	500pacol	10
3	0.299863422759555	0.2642860789483	0.33544076657081	500pacol	15
4	0.24647375517795	0.209019921050232	0.283927589305668	500pacol	20
5	0.254865452955547	0.216190000148981	0.293540905762112	500pacol	25
6	0.174912852346298	0.132771430549741	0.217054274142854	500pacol	30
7	0.152086717986954	0.111776650113031	0.192396785860877	500pacol	35
8	0.121874912574441	0.0771938634973419	0.166555961651539	500pacol	40
9	0.0402569299002027	-0.00643287354093052	0.0869467333413358	500pacol	45
10	0.0223444885841789	-0.023214466665469	0.0679034438338267	500pacol	50
11	0.078832425067999	0.0302153469915971	0.127449503144401	500pacol	55
12	0.0633407376175587	0.0152296542914987	0.111451820943619	500pacol	60
13	0.0102770692002807	-0.0401354254340719	0.0606895638346333	500pacol	65
14	-0.0120579437170819	-0.0652720651777714	0.0411561777436076	500pacol	70
15	-0.0226769687767466	-0.0794820484655341	0.0341281109120408	500pacol	75
16	-0.020988696686333	-0.0802656435333519	0.038288250160686	500pacol	80
17	-0.0784966215024406	-0.13991348815156	-0.017079754853321	500pacol	85
18	0.0426463967534553	-0.0264341971920209	0.111726990698932	500pacol	90
19	-0.0655889885043012	-0.135286452539647	0.00410847553104447	500pacol	95
20	0.0276313257394086	-0.0495448898186913	0.104807541297508	500pacol	100
21	-0.100526228974825	-0.186891440469125	-0.0141610174805257	500pacol	105
22	-0.0223639371568648	-0.124683586821396	0.0799557125076664	500pacol	110
23	-0.0946253682781489	-0.222001831243474	0.0327510946871757	500pacol	115
24	0.313793319566371	0.157646413428073	0.469940225704668	500pacol	120
1	1	1	1	500pafn	5
2	0.336349089028831	0.310194525777634	0.362503652280028	500pafn	10
3	0.207253781511547	0.179407163941717	0.235100399081377	500pafn	15
4	0.168478739032765	0.140133232993428	0.196824245072103	500pafn	20
5	0.146547596606614	0.11710236091622	0.175992832297008	500pafn	25
6	0.119229884381106	0.0893686129610524	0.149091155801161	500pafn	30
7	0.0988917155845505	0.0675148017533658	0.130268629415735	500pafn	35
8	0.0932018437878165	0.061186415706505	0.125217271869128	500pafn	40
9	0.0465469277532098	0.0136049336356245	0.0794889218707952	500pafn	45
10	0.0153952763725919	-0.0191945608004609	0.0499851135456446	500pafn	50
11	0.00989785969016559	-0.0252173547055704	0.0450130740859016	500pafn	55
12	0.059240841565948	0.0234344212811137	0.0950472618507822	500pafn	60
13	0.0685120876512148	0.0315145465405239	0.105509628761906	500pafn	65
14	0.0509245133460397	0.0114518408241875	0.090397185867892	500pafn	70
15	0.0279482508781022	-0.013890456213123	0.0697869579693274	500pafn	75
16	-0.0451129073566636	-0.0886503558696952	-0.0015754588436319	500pafn	80
17	-0.0389156682398271	-0.084199271150739	0.00636793467108487	500pafn	85
18	0.0683458496730189	0.0181090747284076	0.11858262461763	500pafn	90
19	0.0124345261964238	-0.0435423781842857	0.0684114305771333	500pafn	95
20	0.0019073741729036	-0.0571972483595907	0.0610119967053979	500pafn	100
21	0.0468737530057604	-0.0160337263329587	0.109781232344479	500pafn	105
22	0.119861185196143	0.0423079600148107	0.197414410377475	500pafn	110
23	0.267264536270268	0.175507011949006	0.35902206059153	500pafn	115
24	0.251518506202353	0.132397212122269	0.370639800282437	500pafn	120
1	1	1	1	30kpacol	5
2	0.206343285073025	0.160968904381881	0.25171766576417	30kpacol	10
3	0.077666706289401	0.0302603218969572	0.125073090681845	30kpacol	15
4	0.0401933813689077	-0.00559093904377179	0.0859777017815873	30kpacol	20
5	0.0188975776288365	-0.0289187772375361	0.066713932495209	30kpacol	25
6	-0.00714208098936885	-0.0565737537053631	0.0422895917266254	30kpacol	30
7	-0.0259021679644023	-0.076459743661041	0.0246554077322365	30kpacol	35
8	0.0026153731644866	-0.049506342223152	0.0547370885521252	30kpacol	40
9	0.0452417120894335	-0.00590364665788411	0.096387070836751	30kpacol	45
10	0.0182022559754965	-0.0373387889686615	0.0737433009196546	30kpacol	50
11	0.0107640071173038	-0.0485094816609407	0.0700374958955482	30kpacol	55
12	0.155023431921879	0.0926046152247857	0.217442248618973	30kpacol	60
13	0.0681845693019377	0.00432627705523302	0.132042861548642	30kpacol	65
14	0.0744333161153313	0.0135511631998319	0.135315469030831	30kpacol	70
15	0.130413555130443	0.0596115772149738	0.201215533045912	30kpacol	75
16	0.128464942873898	0.0574528471250267	0.19947703862277	30kpacol	80
17	0.156909196741775	0.0810023280650859	0.232816065418464	30kpacol	85
18	0.0302043330732112	-0.0476158740625181	0.108024540208941	30kpacol	90
19	0.149710263208978	0.0616720559657325	0.237748470452224	30kpacol	95
20	-0.112529224466005	-0.206590085757395	-0.0184683631746138	30kpacol	100
21	0.191528296548894	0.071642427007392	0.311414166090395	30kpacol	105
22	0.0381418805507991	-0.0966502991282057	0.172934060229804	30kpacol	110
23	-0.00950022030193246	-0.173761132538067	0.154760691934202	30kpacol	115
24	-0.192733141661026	-0.5552617171592	0.169795433837148	30kpacol	120
1	1	1	1	30kpafn	5
2	0.379416425086938	0.352109554593154	0.406723295580722	30kpafn	10
3	0.280226706537589	0.249903701929315	0.310549711145862	30kpafn	15
4	0.241230030549863	0.210991583520842	0.271468477578885	30kpafn	20
5	0.202285331550939	0.171130833429984	0.233439829671894	30kpafn	25
6	0.130929959527686	0.0977009640362592	0.164158955019112	30kpafn	30
7	0.100574546307253	0.0667779970011173	0.134371095613389	30kpafn	35
8	0.130431238748295	0.0949687625112576	0.165893714985332	30kpafn	40
9	0.16472972161692	0.129554614598491	0.19990482863535	30kpafn	45
10	0.183057333566625	0.146055321778837	0.220059345354412	30kpafn	50
11	0.10487024943646	0.0655456518972137	0.144194846975706	30kpafn	55
12	0.111482330946998	0.0722560643486002	0.150708597545396	30kpafn	60
13	0.109796593813124	0.0670245255561153	0.152568662070133	30kpafn	65
14	0.142009184873598	0.0975527937319338	0.186465576015263	30kpafn	70
15	0.0375437879993136	-0.00949272025606036	0.0845802962546875	30kpafn	75
16	-0.0124093622978468	-0.0623491624428787	0.037530437847185	30kpafn	80
17	-0.0111271466428672	-0.0627701420451613	0.0405158487594269	30kpafn	85
18	-0.00921888871131846	-0.0668492839298585	0.0484115065072216	30kpafn	90
19	-0.0276684639850427	-0.0872551672436355	0.0319182392735502	30kpafn	95
20	0.028424383878479	-0.0372010325987805	0.0940498003557386	30kpafn	100
21	0.141293501717383	0.0635711259506461	0.21901587748412	30kpafn	105
22	0.132218626287085	0.0443079664385209	0.220129286135649	30kpafn	110
23	0.0471891973246231	-0.0931263194573447	0.187504714106591	30kpafn	115
24	-0.176776695296637	-0.582465410117906	0.228912019524633	30kpafn	120
1	1	1	1	hacol	5
2	0.717403747241217	0.704428627237598	0.730378867244835	hacol	10
3	0.601620764019572	0.585160460384897	0.618081067654247	hacol	15
4	0.515821600248627	0.497675703157698	0.533967497339556	hacol	20
5	0.458800787346434	0.439087315234069	0.478514259458799	hacol	25
6	0.404965793990674	0.384042578629269	0.425889009352079	hacol	30
7	0.400934695543107	0.379919475268793	0.421949915817421	hacol	35
8	0.383309814247888	0.361575567796484	0.405044060699292	hacol	40
9	0.379966035415147	0.357656997641027	0.402275073189267	hacol	45
10	0.343652169126443	0.319944654456843	0.367359683796043	hacol	50
11	0.327375066808769	0.302635397993139	0.352114735624398	hacol	55
12	0.271555791274142	0.244491034096707	0.298620548451577	hacol	60
13	0.272486276936044	0.245283315719799	0.299689238152289	hacol	65
14	0.253887206162113	0.224597875531452	0.283176536792774	hacol	70
15	0.218117224702545	0.187036416146748	0.249198033258341	hacol	75
16	0.19629065692594	0.162227671578475	0.230353642273406	hacol	80
17	0.15484296778707	0.116997131177207	0.192688804396933	hacol	85
18	0.150174147699307	0.110603237259989	0.189745058138626	hacol	90
19	0.117901295043301	0.0742928849085031	0.161509705178099	hacol	95
