i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.552188719115288	0.538573872696057	0.565803565534519	500pacol	10
3	0.359683769979402	0.343369589781378	0.375997950177426	500pacol	15
4	0.26765652600334	0.250073281654004	0.285239770352676	500pacol	20
5	0.204342239449083	0.185991609203629	0.222692869694536	500pacol	25
6	0.150558684166968	0.131493753349664	0.169623614984272	500pacol	30
7	0.105491487723544	0.0858732546454494	0.125109720801639	500pacol	35
8	0.0795038764776859	0.0591277310988524	0.0998800218565195	500pacol	40
9	0.10682979277601	0.0858047793888652	0.127854806163154	500pacol	45
10	0.137971146605883	0.116580437256717	0.159361855955049	500pacol	50
11	0.122598687871936	0.100511599812509	0.144685775931363	500pacol	55
12	0.149067597647736	0.126358925310085	0.171776269985386	500pacol	60
13	0.137337367273281	0.113548930917111	0.16112580362945	500pacol	65
14	0.14954790664562	0.124690908812389	0.174404904478852	500pacol	70
15	0.117308681234161	0.0913680118588418	0.143249350609481	500pacol	75
16	0.0788981657849002	0.0514649888610558	0.106331342708745	500pacol	80
17	0.0529138520610933	0.0235584677443622	0.0822692363778243	500pacol	85
18	0.0581110393127702	0.0272336208225257	0.0889884578030148	500pacol	90
19	0.0647037963358281	0.0318374477458176	0.0975701449258385	500pacol	95
20	0.0872858305900365	0.0500357412880117	0.124535919892061	500pacol	100
21	0.12834708227047	0.0865451404047569	0.170149024136184	500pacol	105
22	0.134336598554077	0.0857355665154088	0.182937630592744	500pacol	110
23	0.118252130312908	0.0605855710013851	0.175918689624431	500pacol	115
24	0.0958683447072045	0.00918830175143349	0.182548387662975	500pacol	120
1	1	1	1	500pafn	5
2	0.630466776740511	0.615343218494356	0.645590334986665	500pafn	10
3	0.406501152582308	0.386865369023289	0.426136936141326	500pafn	15
4	0.285364741513524	0.26408167736978	0.306647805657267	500pafn	20
5	0.202496695923495	0.179845591677981	0.22514780016901	500pafn	25
6	0.142421127851848	0.118769116755152	0.166073138948544	500pafn	30
7	0.0819111242181943	0.0578018080618668	0.106020440374522	500pafn	35
8	0.0687910488994041	0.0436602831759355	0.0939218146228727	500pafn	40
9	0.0526169590934287	0.026600883182566	0.0786330350042913	500pafn	45
10	0.0550989245565626	0.0284301756243679	0.0817676734887573	500pafn	50
11	0.0617039028784179	0.0342230902742078	0.0891847154826281	500pafn	55
12	0.0596851297270538	0.0310957800490695	0.088274479405038	500pafn	60
