i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.504939226904918	0.48613275589202	0.523745697917815	500pacol	10
3	0.295648432900555	0.273426970660469	0.317869895140641	500pacol	15
4	0.209301809800249	0.185999701267376	0.232603918333123	500pacol	20
5	0.14393961282052	0.120065664337472	0.167813561303569	500pacol	25
6	0.11859580766117	0.0934686069767024	0.143723008345638	500pacol	30
7	0.0783616048260813	0.0524843271017294	0.104238882550433	500pacol	35
8	0.046573218094823	0.020660452337259	0.072485983852387	500pacol	40
9	0.0631682317205757	0.0363233638634115	0.09001309957774	500pacol	45
10	0.0569718987670723	0.0291112244141821	0.0848325731199625	500pacol	50
11	0.0836751405827602	0.055127275470411	0.112223005695109	500pacol	55
12	0.108203179729445	0.078734661032065	0.137671698426825	500pacol	60
13	0.127616157119279	0.0968844864607902	0.158347827777769	500pacol	65
14	0.176953726178863	0.144625384107427	0.2092820682503	500pacol	70
15	0.200292857595032	0.167234899437549	0.233350815752515	500pacol	75
16	0.163358896635668	0.128846537690012	0.197871255581324	500pacol	80
17	0.16093233946814	0.123420338872428	0.198444340063851	500pacol	85
18	0.217226587098892	0.178171127644006	0.256282046553777	500pacol	90
19	0.230123427324597	0.186921627381983	0.27332522726721	500pacol	95
20	0.230725185788177	0.184583187320566	0.276867184255788	500pacol	100
21	0.234094144692575	0.183500698072423	0.284687591312727	500pacol	105
22	0.195197799944262	0.133021382452738	0.257374217435786	500pacol	110
23	0.20372635549804	0.128039267455611	0.27941344354047	500pacol	115
24	0.260976401199299	0.154631547045796	0.367321255352801	500pacol	120
1	1	1	1	500pafn	5
2	0.474921550469936	0.461191006863812	0.488652094076061	500pafn	10
3	0.313192435902687	0.2977439788153	0.328640892990074	500pafn	15
4	0.25164721226617	0.235313354040722	0.267981070491617	500pafn	20
5	0.197901102170666	0.18116133666406	0.214640867677272	500pafn	25
6	0.156318204745161	0.138577211109796	0.174059198380526	500pafn	30
7	0.130705250209667	0.112609236170598	0.148801264248736	500pafn	35
8	0.127008917233686	0.108349239965916	0.145668594501456	500pafn	40
9	0.12177874058221	0.102803315083116	0.140754166081304	500pafn	45
