i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.108855298887339	0.0786520021805297	0.139058595594148	500pacol	10
3	-0.0125111024904329	-0.0439781100165357	0.0189559050356699	500pacol	15
4	0.0409632242421338	0.00934916744682998	0.0725772810374375	500pacol	20
5	0.00639774769525933	-0.0260233446202005	0.0388188400107192	500pacol	25
6	-0.00216726731272633	-0.0363104934135108	0.0319759587880581	500pacol	30
7	0.0334730233695341	-0.00177162009439902	0.0687176668334672	500pacol	35
8	0.047032677052577	0.0086220358383651	0.0854433182667889	500pacol	40
9	0.129201321149436	0.0902776873825717	0.1681249549163	500pacol	45
10	0.00480063036123331	-0.036354133257097	0.0459553939795636	500pacol	50
11	0.0361992961112583	-0.00767060337277596	0.0800691955952925	500pacol	55
12	-0.0288903777331472	-0.0771578175639702	0.0193770620976758	500pacol	60
13	0.10358026952984	0.0542236769279831	0.152936862131697	500pacol	65
14	0.123283322115968	0.068167355350012	0.178399288881924	500pacol	70
15	-0.0625599015990417	-0.124958483932273	-0.000161319265810471	500pacol	75
16	-0.0328181705394931	-0.110699667618051	0.0450633265390651	500pacol	80
17	-0.0541751638128917	-0.16441296434017	0.0560626367143863	500pacol	85
1	1	1	1	500pafn	5
2	0.0653758100200007	0.0295785409310096	0.101173079108992	500pafn	10
3	-0.123794738213893	-0.160372712488377	-0.087216763939409	500pafn	15
4	-0.18267241983395	-0.219779335420379	-0.145565504247521	500pafn	20
5	-0.0591699640895632	-0.0987234282018218	-0.0196164999773046	500pafn	25
6	-0.00943965843539191	-0.0505187568152211	0.0316394399444373	500pafn	30
7	0.0338663473000261	-0.00994578760385072	0.0776784822039029	500pafn	35
8	0.0188722682354663	-0.0266579283440244	0.064402464814957	500pafn	40
9	0.0539190315794443	0.00672211547428427	0.101115947684604	500pafn	45
10	-0.0324419142010333	-0.0831101422066534	0.0182263138045868	500pafn	50
11	0.0793347814319321	0.0264473525430649	0.132222210320799	500pafn	55
12	0.0560974526181199	-0.00265419042777738	0.114849095664017	500pafn	60
13	0.0508292425287468	-0.012546046460544	0.114204531518038	500pafn	65
14	-0.158442192885579	-0.224948451269303	-0.0919359345018553	500pafn	70
15	-0.144407636177703	-0.221561828913046	-0.0672534434423597	500pafn	75
16	0.0835887085264294	-0.00795881761901501	0.175136234671874	500pafn	80
17	-0.0262033450017021	-0.134596345891148	0.082189655887744	500pafn	85
1	1	1	1	30kpacol	5
2	0.137556027611918	0.100671513090565	0.174440542133271	30kpacol	10
3	0.0250236897049351	-0.0122123039706477	0.0622596833805178	30kpacol	15
4	-0.0315435752381586	-0.0711262799801469	0.00803912950382981	30kpacol	20
5	0.0101938043713202	-0.0298975977780319	0.0502852065206722	30kpacol	25
6	-0.0309759872637654	-0.0737347937713804	0.0117828192438495	30kpacol	30
7	0.0559107782315251	0.00958503063920974	0.10223652582384	30kpacol	35
8	0.0173062890407619	-0.0291399165976536	0.0637524946791774	30kpacol	40
9	0.0151420992007283	-0.0324885334422284	0.062772731843685	30kpacol	45
10	0.0119437073935923	-0.0368179264603298	0.0607053412475145	30kpacol	50
11	0.0534611116208069	0.00118081808625661	0.105741405155357	30kpacol	55
12	-0.0440940425902385	-0.104984010618279	0.016795925437802	30kpacol	60
13	-0.0177148490180566	-0.083960404584003	0.0485307065478898	30kpacol	65
14	0.0130512078352888	-0.0636077214534417	0.0897101371240194	30kpacol	70
15	-0.00271157070424085	-0.0991988229032787	0.093775681494797	30kpacol	75
16	0.14840623636347	0.0199880909561087	0.276824381770831	30kpacol	80
1	1	1	1	30kpafn	5
2	0.0180519739895718	-0.0156483804095668	0.0517523283887104	30kpafn	10
3	-0.0217233753777202	-0.0559850628046953	0.0125383120492549	30kpafn	15
4	0.00307449216500172	-0.0326443582494293	0.0387933425794327	30kpafn	20
5	0.0215403353187963	-0.0152762015554156	0.0583568721930083	30kpafn	25
6	-0.00826743641015777	-0.0469645071041253	0.0304296342838097	30kpafn	30
7	-0.0577873189124617	-0.0977034155652919	-0.0178712222596314	30kpafn	35
8	0.0332867927359712	-0.00886416857238256	0.075437754044325	30kpafn	40
9	0.0202700778376065	-0.0248074340064964	0.0653475896817094	30kpafn	45
10	-0.0138646351049248	-0.0610383767430317	0.0333091065331822	30kpafn	50
11	-0.0109482076709401	-0.0620523024549384	0.0401558871130581	30kpafn	55
12	0.0939495598436116	0.0409683723062174	0.146930747381006	30kpafn	60
13	0.120966932981426	0.0607168123601974	0.181217053602654	30kpafn	65
14	0.122955801000012	0.0528399962701718	0.193071605729853	30kpafn	70
15	-0.121027054382411	-0.204383809234675	-0.0376702995301476	30kpafn	75
16	0.0830456746843564	-0.0323916103435444	0.198482959712257	30kpafn	80
1	1	1	1	hacol	5
2	0.328245502177124	0.297144378283226	0.359346626071022	hacol	10
3	0.099483182591589	0.0644988864868467	0.134467478696331	hacol	15
4	0.0363470507908128	0.000346541562580974	0.0723475600190446	hacol	20
5	0.0613128395157786	0.0249139652161723	0.0977117138153849	hacol	25
6	0.0624549102522999	0.0241189970028259	0.100790823501774	hacol	30
7	0.0584901017166445	0.01865444247291	0.0983257609603789	hacol	35
8	0.041859758898492	-0.00173184870435641	0.0854513665013405	hacol	40
9	0.0011055888271766	-0.0420119398276726	0.0442231174820258	hacol	45
10	0.016781193633987	-0.031487808236622	0.0650501955045959	hacol	50
11	0.0274852580951276	-0.0228293743791805	0.0777998905694356	hacol	55
12	-0.0506567873266051	-0.106241537434679	0.00492796278146838	hacol	60
13	-0.132176241675193	-0.195540188271959	-0.0688122950784266	hacol	65
14	0.0345118074440271	-0.0354337847045028	0.104457399592557	hacol	70
15	0.090926637772838	0.00358902387642303	0.178264251669253	hacol	75
16	0.0470257277347203	-0.0763932593780913	0.170444714847532	hacol	80
1	1	1	1	hafn	5
2	0.267158296894065	0.234627588562405	0.299689005225725	hafn	10
3	0.16313098115872	0.129561110644805	0.196700851672636	hafn	15
4	-0.025276582343995	-0.0612763832541854	0.0107232185661953	hafn	20
5	-0.0679105321013346	-0.104796909685307	-0.0310241545173624	hafn	25
6	-0.110493346585983	-0.149924366135514	-0.0710623270364522	hafn	30
7	-0.0136730437367983	-0.0558249682844812	0.0284788808108846	hafn	35
8	-0.0721056394984762	-0.115276616423484	-0.0289346625734687	hafn	40
9	0.00895199793786517	-0.0374688850826182	0.0553728809583485	hafn	45
10	-0.0241697476048743	-0.0735751720326316	0.025235676822883	hafn	50
11	0.0738141302645193	0.0206525505937419	0.126975709935297	hafn	55
12	0.0404163061540383	-0.016624848991217	0.0974574612992936	hafn	60
13	0.13477450738707	0.0697186336462509	0.199830381127889	hafn	65
14	0.02665747562216	-0.0483479250503402	0.10166287629466	hafn	70
15	0.0554345218160784	-0.0341473098844336	0.14501635351659	hafn	75
16	-0.158589723364462	-0.275726719278199	-0.0414527274507245	hafn	80
1	1	1	1	glass	5
2	0.407369396670408	0.378286296580778	0.436452496760039	glass	10
3	0.244176028460227	0.212493773832334	0.275858283088121	glass	15
4	0.162309804795323	0.128308497323924	0.196311112266721	glass	20
5	0.0906227922968669	0.0540557319750049	0.127189852618729	glass	25
6	0.0832913787071993	0.0459835719359917	0.120599185478407	glass	30
7	0.116155653614246	0.0786739294457703	0.153637377782723	glass	35
8	0.0678591541236833	0.0273199936762873	0.108398314571079	glass	40
9	0.098664320442706	0.057024814095477	0.140303826789935	glass	45
10	0.0933121090366487	0.0479287584952745	0.138695459578023	glass	50
11	0.137954658813893	0.092234531088015	0.183674786539771	glass	55
12	0.0713252209565923	0.0230976501388659	0.119552791774319	glass	60
13	-0.008621766446047	-0.065745436068555	0.048501903176461	glass	65
