i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.396420824608504	0.374901159925548	0.417940489291461	500pacol	10
3	0.388323997115727	0.366557484111973	0.410090510119481	500pacol	15
4	0.31067563220532	0.287406228065914	0.333945036344726	500pacol	20
5	0.299519018477398	0.275977851172897	0.323060185781899	500pacol	25
6	0.249149885281528	0.224549153264306	0.27375061729875	500pacol	30
7	0.227370696703612	0.201968182613705	0.252773210793519	500pacol	35
8	0.182388877301339	0.155434519059368	0.209343235543309	500pacol	40
9	0.152007137761287	0.124197144237043	0.179817131285531	500pacol	45
10	0.125080920535178	0.095289081581229	0.154872759489128	500pacol	50
11	0.086701912343837	0.0559612389775737	0.1174425857101	500pacol	55
12	0.0671811525773146	0.0351697914395224	0.0991925137151069	500pacol	60
13	0.0328519657249823	-0.000987379687243051	0.0666913111372077	500pacol	65
14	-0.00892386821580354	-0.0452602133400511	0.027412476908444	500pacol	70
15	-0.0298244116793941	-0.0683169100062612	0.00866808664747291	500pacol	75
16	0.00629386650595952	-0.0350828353418224	0.0476705683537415	500pacol	80
17	-0.0536392771513568	-0.0969098720453089	-0.0103686822574047	500pacol	85
18	-0.0893357274577318	-0.136761704204589	-0.0419097507108746	500pacol	90
19	-0.150959373232572	-0.204287212020955	-0.0976315344441883	500pacol	95
20	-0.206196267908177	-0.268221084775563	-0.144171451040791	500pacol	100
21	-0.124634275250334	-0.225212670432123	-0.0240558800685445	500pacol	105
1	1	1	1	500pafn	5
2	-0.089633221623843	-0.112459682083345	-0.0668067611643411	500pafn	10
3	0.071285603724231	0.0481970280872809	0.0943741793611812	500pafn	15
4	0.107209714093716	0.083703255813675	0.130716172373757	500pafn	20
5	0.0754098763304803	0.0512143951134836	0.0996053575474769	500pafn	25
6	0.0991852679243346	0.074564457210677	0.123806078637992	500pafn	30
7	0.0998813490038156	0.0742501530312729	0.125512544976358	500pafn	35
8	0.106569859844985	0.0805055344372899	0.13263418525268	500pafn	40
9	0.0664713323633392	0.0386493046412015	0.094293360085477	500pafn	45
10	0.0531267115634521	0.0245525278941624	0.0817008952327418	500pafn	50
11	0.0602322764439202	0.0307985192997775	0.089666033588063	500pafn	55
12	0.045553076128823	0.0151628601350586	0.0759432921225875	500pafn	60
13	0.00212069518506696	-0.0304248057976416	0.0346661961677755	500pafn	65
14	0.0576731821475279	0.0222862905513166	0.0930600737437391	500pafn	70
15	0.0650624658264713	0.0275743462187909	0.102550585434152	500pafn	75
16	0.0354240218600506	-0.00493360782451847	0.0757816515446196	500pafn	80
17	0.0402544430916959	-0.00301281712293762	0.0835217033063294	500pafn	85
18	-0.0354699327817517	-0.086222508932131	0.0152826433686276	500pafn	90
19	0.00295192993075083	-0.0550171767778794	0.0609210366393811	500pafn	95
20	0.0272834596392196	-0.045676096893142	0.100243016171581	500pafn	100
21	-0.129113585716043	-0.229162181345781	-0.029064990086306	500pafn	105
1	1	1	1	30kpacol	5
2	0.298359818063343	0.276480309700495	0.320239326426192	30kpacol	10
3	0.294619424750766	0.272507176043843	0.316731673457689	30kpacol	15
4	0.274443242741928	0.251777799965612	0.297108685518245	30kpacol	20
5	0.239275381622338	0.216352333435215	0.262198429809462	30kpacol	25
6	0.192204992264263	0.168116349718227	0.2162936348103	30kpacol	30
7	0.18270696106494	0.158409078121047	0.207004844008834	30kpacol	35
8	0.194536117029882	0.169493133074999	0.219579100984764	30kpacol	40
9	0.185760515506631	0.160092822379584	0.211428208633678	30kpacol	45
10	0.111007413054687	0.0835941687965166	0.138420657312857	30kpacol	50
11	0.107280722186786	0.0790085964286593	0.135552847944914	30kpacol	55
12	0.0923853570571115	0.0625437113676848	0.122227002746538	30kpacol	60
13	0.107729849354644	0.0756867348837189	0.139772963825569	30kpacol	65
14	0.0817647041070809	0.0476344302600408	0.115894977954121	30kpacol	70
15	0.0767055193393112	0.0410400265255191	0.112371012153103	30kpacol	75
16	0.0998388088191491	0.0614902264162433	0.138187391222055	30kpacol	80
17	-0.00363778625150271	-0.0459088987652055	0.0386333262622001	30kpacol	85
18	0.0255264589386206	-0.0202943824843355	0.0713473003615767	30kpacol	90
19	-0.00561978753827017	-0.0542801973727698	0.0430406222962295	30kpacol	95
20	0.0206895992123464	-0.0389997408789225	0.0803789393036152	30kpacol	100
21	-0.0350884902778097	-0.105092963395892	0.0349159828402722	30kpacol	105
22	0.202510488938711	0.105111252220223	0.2999097256572	30kpacol	110
1	1	1	1	30kpafn	5
2	0.220969551456073	0.190457979170415	0.251481123741732	30kpafn	10
3	0.247635366712761	0.217482878523994	0.277787854901529	30kpafn	15
4	0.193035049251945	0.161894868600386	0.224175229903504	30kpafn	20
5	0.166324849991774	0.134801088323668	0.197848611659881	30kpafn	25
6	0.13087050819173	0.0982411031719513	0.163499913211509	30kpafn	30
7	0.0218909764843727	-0.0127658399034493	0.0565477928721947	30kpafn	35
8	0.0442909511230504	0.00904323094672595	0.0795386712993748	30kpafn	40
9	0.0203464216799907	-0.0168311623632571	0.0575240057232384	30kpafn	45
10	0.0440297110412115	0.00568810298402288	0.0823713190984001	30kpafn	50
11	-0.00286675418536286	-0.0431968013436521	0.0374632929729263	30kpafn	55
