i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.665259815917668	0.647034570422303	0.683485061413033	500pacol	10
3	0.576549342951691	0.555754531206782	0.597344154696599	500pacol	15
4	0.549272633038879	0.527571661302358	0.570973604775399	500pacol	20
5	0.556965675472028	0.53503993549057	0.578891415453487	500pacol	25
6	0.520110314154905	0.497010073250159	0.543210555059653	500pacol	30
7	0.475848712153929	0.451351448140584	0.500345976167274	500pacol	35
8	0.487637042431709	0.462869942305416	0.512404142558002	500pacol	40
9	0.476470122133318	0.451035210972036	0.501905033294601	500pacol	45
10	0.466208387596084	0.440004714238724	0.492412060953443	500pacol	50
11	0.448952750287196	0.420646494682206	0.477259005892185	500pacol	55
12	0.466794940198183	0.438417612247749	0.495172268148617	500pacol	60
13	0.40945119388296	0.379095182424602	0.439807205341317	500pacol	65
14	0.394833283478358	0.364801946804626	0.42486462015209	500pacol	70
15	0.389793274742569	0.357924846578056	0.421661702907081	500pacol	75
16	0.370524199023103	0.33555075411859	0.405497643927616	500pacol	80
17	0.348292635184298	0.310851123645934	0.385734146722661	500pacol	85
18	0.313731956131009	0.274060955541033	0.353402956720984	500pacol	90
19	0.313315723908049	0.270075443899406	0.356556003916691	500pacol	95
20	0.333983174704928	0.285654201414391	0.382312147995465	500pacol	100
21	0.358142624541859	0.302754782736966	0.413530466346752	500pacol	105
22	0.377773485291762	0.318454979818493	0.43709199076503	500pacol	110
23	0.305692879232211	0.230860884119545	0.380524874344876	500pacol	115
24	0.235693001834385	0.118176998456119	0.353209005212651	500pacol	120
1	1	1	1	500pafn	5
2	0.721442911083933	0.706809186772846	0.73607663539502	500pafn	10
3	0.662826488992582	0.646424669976324	0.67922830800884	500pafn	15
4	0.625826248427463	0.608398751902306	0.643253744952621	500pafn	20
5	0.586577149223401	0.567722497722409	0.605431800724392	500pafn	25
6	0.560563849691106	0.540644152750607	0.580483546631605	500pafn	30
7	0.523027404628512	0.502090224419297	0.543964584837727	500pafn	35
8	0.532112231817537	0.511188455139854	0.55303600849522	500pafn	40
9	0.529644468664456	0.508232751149682	0.55105618617923	500pafn	45
10	0.520679556706819	0.498151595323326	0.543207518090312	500pafn	50
11	0.499529939671642	0.475261120561986	0.523798758781299	500pafn	55
12	0.478773183567647	0.453005876833371	0.504540490301922	500pafn	60
13	0.491298264803548	0.464352157413632	0.518244372193464	500pafn	65
14	0.458231094439572	0.429496319716551	0.486965869162594	500pafn	70
15	0.453704851613151	0.423377340811489	0.484032362414813	500pafn	75
16	0.441863098344662	0.409683601736146	0.474042594953178	500pafn	80
17	0.444429031101543	0.411339900036875	0.47751816216621	500pafn	85
18	0.449229405573712	0.414809018953392	0.483649792194032	500pafn	90
19	0.421992826540703	0.383459071873764	0.460526581207641	500pafn	95
20	0.383524118340436	0.340333789383904	0.426714447296969	500pafn	100
21	0.371681791420888	0.32447389315233	0.418889689689446	500pafn	105
22	0.344988412379031	0.288580606186745	0.401396218571317	500pafn	110
23	0.358031721166271	0.286182506096922	0.42988093623562	500pafn	115
24	0.274881070865352	0.185118275944253	0.364643865786452	500pafn	120
1	1	1	1	30kpacol	5
2	0.568945330620822	0.549272242298098	0.588618418943547	30kpacol	10
3	0.492645000127213	0.471535000412417	0.513754999842009	30kpacol	15
4	0.460989013003933	0.438965390243307	0.483012635764558	30kpacol	20
5	0.471298008072698	0.448907986396873	0.493688029748523	30kpacol	25
6	0.444760706436142	0.421519505649721	0.468001907222564	30kpacol	30
7	0.451340606453567	0.427199810211389	0.475481402695746	30kpacol	35
8	0.441235310599693	0.41713069549573	0.465339925703656	30kpacol	40
9	0.473191572750386	0.449113665464705	0.497269480036067	30kpacol	45
